Rank,Name,Year,Rating,Link,Director
1,The Shawshank Redemption,1994,9.2,https://www.imdb.com/title/tt0111161/,Frank Darabont
2,The Godfather,1972,9.1,https://www.imdb.com/title/tt0068646/,Mario Puzo
3,The Godfather: Part II,1974,9.0,https://www.imdb.com/title/tt0071562/,Francis Ford Coppola
4,The Dark Knight,2008,9.0,https://www.imdb.com/title/tt0468569/,Christopher Nolan
5,12 Angry Men,1957,8.9,https://www.imdb.com/title/tt0050083/,Reginald Rose
6,Schindler's List,1993,8.9,https://www.imdb.com/title/tt0108052/,Oskar Schindler
7,The Lord of the Rings: The Return of the King,2003,8.9,https://www.imdb.com/title/tt0167260/,Peter Jackson
8,Pulp Fiction,1994,8.9,https://www.imdb.com/title/tt0110912/,Quentin Tarantino
9,"Il buono, il brutto, il cattivo",1966,8.8,https://www.imdb.com/title/tt0060196/,Sergio Leone
10,Fight Club,1999,8.8,https://www.imdb.com/title/tt0137523/,Jim Uhls
11,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,https://www.imdb.com/title/tt0120737/,Peter Jackson
12,Joker,2019,8.8,https://www.imdb.com/title/tt7286456/,Todd Phillips
13,Forrest Gump,1994,8.8,https://www.imdb.com/title/tt0109830/,Winston Groom
14,Inception,2010,8.7,https://www.imdb.com/title/tt1375666/,Christopher Nolan
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,https://www.imdb.com/title/tt0080684/,Irvin Kershner
16,The Lord of the Rings: The Two Towers,2002,8.7,https://www.imdb.com/title/tt0167261/,Peter Jackson
17,The Matrix,1999,8.6,https://www.imdb.com/title/tt0133093/,Lilly Wachowski
18,One Flew Over the Cuckoo's Nest,1975,8.6,https://www.imdb.com/title/tt0073486/,Bo Goldman
19,Goodfellas,1990,8.6,https://www.imdb.com/title/tt0099685/,Martin Scorsese
20,Shichinin no samurai,1954,8.6,https://www.imdb.com/title/tt0047478/,Akira Kurosawa
21,Se7en,1995,8.6,https://www.imdb.com/title/tt0114369/,David Fincher
22,Cidade de Deus,2002,8.6,https://www.imdb.com/title/tt0317248/,Kátia Lund
23,La vita è bella,1997,8.6,https://www.imdb.com/title/tt0118799/,Roberto Benigni
24,The Silence of the Lambs,1991,8.6,https://www.imdb.com/title/tt0102926/,Jonathan Demme
25,It's a Wonderful Life,1946,8.6,https://www.imdb.com/title/tt0038650/,Frank Capra
26,Star Wars,1977,8.6,https://www.imdb.com/title/tt0076759/,George Lucas
27,Saving Private Ryan,1998,8.5,https://www.imdb.com/title/tt0120815/,Robert Rodat
28,Sen to Chihiro no kamikakushi,2001,8.5,https://www.imdb.com/title/tt0245429/,Hayao Miyazaki
29,The Green Mile,1999,8.5,https://www.imdb.com/title/tt0120689/,Frank Darabont
30,Léon,1994,8.5,https://www.imdb.com/title/tt0110413/,Luc Besson
31,Interstellar,2014,8.5,https://www.imdb.com/title/tt0816692/,Christopher Nolan
32,Seppuku,1962,8.5,https://www.imdb.com/title/tt0056058/,Akira Ishihama
33,The Usual Suspects,1995,8.5,https://www.imdb.com/title/tt0114814/,Bryan Singer
34,The Lion King,1994,8.5,https://www.imdb.com/title/tt0110357/,Roger Allers
35,American History X,1998,8.5,https://www.imdb.com/title/tt0120586/,Edward Norton
36,Back to the Future,1985,8.5,https://www.imdb.com/title/tt0088763/,Robert Zemeckis
37,The Pianist,2002,8.5,https://www.imdb.com/title/tt0253474/,Roman Polanski
38,Modern Times,1936,8.5,https://www.imdb.com/title/tt0027977/,Paulette Goddard
39,Terminator 2: Judgment Day,1991,8.5,https://www.imdb.com/title/tt0103064/,James Cameron
40,The Intouchables,2011,8.5,https://www.imdb.com/title/tt1675434/,Olivier Nakache
41,Psycho,1960,8.5,https://www.imdb.com/title/tt0054215/,Alfred Hitchcock
42,Gladiator,2000,8.5,https://www.imdb.com/title/tt0172495/,Ridley Scott
43,City Lights,1931,8.5,https://www.imdb.com/title/tt0021749/,Virginia Cherrill
44,The Departed,2006,8.5,https://www.imdb.com/title/tt0407887/,Martin Scorsese
45,Whiplash,2014,8.5,https://www.imdb.com/title/tt2582802/,Damien Chazelle
46,Once Upon a Time in the West,1968,8.5,https://www.imdb.com/title/tt0064116/,Sergio Leone
47,The Prestige,2006,8.5,https://www.imdb.com/title/tt0482571/,Christopher Nolan
48,Avengers: Endgame,2019,8.4,https://www.imdb.com/title/tt4154796/,Avengers: Infinity War
49,Casablanca,1942,8.4,https://www.imdb.com/title/tt0034583/,Michael Curtiz
50,Hotaru no haka,1988,8.4,https://www.imdb.com/title/tt0095327/,Isao Takahata
51,Rear Window,1954,8.4,https://www.imdb.com/title/tt0047396/,John Michael Hayes
52,Nuovo Cinema Paradiso,1988,8.4,https://www.imdb.com/title/tt0095765/,Giuseppe Tornatore
53,Alien,1979,8.4,https://www.imdb.com/title/tt0078748/,Dan O'Bannon
54,Raiders of the Lost Ark,1981,8.4,https://www.imdb.com/title/tt0082971/,Steven Spielberg
55,Memento,2000,8.4,https://www.imdb.com/title/tt0209144/,Christopher Nolan
56,Apocalypse Now,1979,8.4,https://www.imdb.com/title/tt0078788/,Francis Ford Coppola
57,The Great Dictator,1940,8.4,https://www.imdb.com/title/tt0032553/,Charles Chaplin
58,The Lives of Others,2006,8.4,https://www.imdb.com/title/tt0405094/,Sebastian Koch
59,Django Unchained,2012,8.4,https://www.imdb.com/title/tt1853728/,Quentin Tarantino
60,Avengers: Infinity War,2018,8.4,https://www.imdb.com/title/tt4154756/,Anthony Russo
61,Spider-Man: Into the Spider-Verse,2018,8.4,https://www.imdb.com/title/tt4633694/,Bob Persichetti
62,The Shining,1980,8.4,https://www.imdb.com/title/tt0081505/,Stephen King
63,Paths of Glory,1957,8.4,https://www.imdb.com/title/tt0050825/,Stanley Kubrick
64,WALL·E,2008,8.4,https://www.imdb.com/title/tt0910970/,Andrew Stanton
65,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,https://www.imdb.com/title/tt0057012/,Terry Southern
66,Sunset Blvd.,1950,8.4,https://www.imdb.com/title/tt0043014/,Charles Brackett
67,Mononoke-hime,1997,8.4,https://www.imdb.com/title/tt0119698/,Hayao Miyazaki
68,Oldeuboi,2003,8.3,https://www.imdb.com/title/tt0364569/,Chan-wook Park
69,Gisaengchung,2019,8.3,https://www.imdb.com/title/tt6751668/,Bong Joon Ho
70,Witness for the Prosecution,1957,8.3,https://www.imdb.com/title/tt0051201/,2 more credits
71,The Dark Knight Rises,2012,8.3,https://www.imdb.com/title/tt1345836/,Jonathan Nolan
72,Once Upon a Time in America,1984,8.3,https://www.imdb.com/title/tt0087843/,Harry Grey
73,Aliens,1986,8.3,https://www.imdb.com/title/tt0090605/,James Cameron
74,American Beauty,1999,8.3,https://www.imdb.com/title/tt0169547/,Kevin Spacey
75,Coco,2017,8.3,https://www.imdb.com/title/tt2380307/,Lee Unkrich
76,Kimi no na wa.,2016,8.3,https://www.imdb.com/title/tt5311514/,Makoto Shinkai
77,Braveheart,1995,8.3,https://www.imdb.com/title/tt0112573/,Mel Gibson
78,Das Boot,1981,8.3,https://www.imdb.com/title/tt0082096/,Wolfgang Petersen
79,3 Idiots,2009,8.3,https://www.imdb.com/title/tt1187043/,Rajkumar Hirani
80,Taare Zameen Par,2007,8.3,https://www.imdb.com/title/tt0986264/,Amole Gupte
81,Star Wars: Episode VI - Return of the Jedi,1983,8.3,https://www.imdb.com/title/tt0086190/,Richard Marquand
82,Toy Story,1995,8.3,https://www.imdb.com/title/tt0114709/,John Lasseter
83,Reservoir Dogs,1992,8.3,https://www.imdb.com/title/tt0105236/,Quentin Tarantino
84,Amadeus,1984,8.3,https://www.imdb.com/title/tt0086879/,Milos Forman
85,Dangal,2016,8.3,https://www.imdb.com/title/tt5074352/,Mahavir Singh Phogat
86,Inglourious Basterds,2009,8.3,https://www.imdb.com/title/tt0361748/,Quentin Tarantino
87,Good Will Hunting,1997,8.3,https://www.imdb.com/title/tt0119217/,Matt Damon
88,M - Eine Stadt sucht einen Mörder,1931,8.3,https://www.imdb.com/title/tt0022100/,Peter Lorre
89,Requiem for a Dream,2000,8.3,https://www.imdb.com/title/tt0180093/,Hubert Selby Jr.
90,2001: A Space Odyssey,1968,8.3,https://www.imdb.com/title/tt0062622/,Stanley Kubrick
91,Vertigo,1958,8.3,https://www.imdb.com/title/tt0052357/,Alfred Hitchcock
92,Eternal Sunshine of the Spotless Mind,2004,8.3,https://www.imdb.com/title/tt0338013/,Michel Gondry
93,Citizen Kane,1941,8.3,https://www.imdb.com/title/tt0033467/,Herman J. Mankiewicz
94,Full Metal Jacket,1987,8.3,https://www.imdb.com/title/tt0093058/,Stanley Kubrick
95,Jagten,2012,8.3,https://www.imdb.com/title/tt2106476/,Thomas Vinterberg
96,North by Northwest,1959,8.3,https://www.imdb.com/title/tt0053125/,Alfred Hitchcock
