Name,Symbol,Price (USD),Market Cap,24h Change (%)
Bitcoin,BTC,111483,2221899712625,0.82966
Ethereum,ETH,3942.39,475531640396,0.77027
Tether,USDT,1.0,182956266459,-0.00099
XRP,XRP,2.61,156308945164,5.08426
BNB,BNB,1113.22,154903683006,0.51711
Solana,SOL,193.18,106137886788,0.90595
USDC,USDC,0.999833,76298238533,0.00075
Lido Staked Ether,STETH,3940.69,33839515699,0.81069
Dogecoin,DOGE,0.197283,29873491211,0.76867
TRON,TRX,0.297877,28196335938,-2.00579
Cardano,ADA,0.656754,24016494836,1.19566
Wrapped stETH,WSTETH,4790.84,15862644550,0.69414
Wrapped Bitcoin,WBTC,111391,14117198575,0.71322
Wrapped Beacon ETH,WBETH,4248.13,13856022405,0.59441
Chainlink,LINK,18.05,12575820758,2.09641
Hyperliquid,HYPE,42.81,11595472364,9.37081
Wrapped eETH,WEETH,4246.21,10539117743,0.67608
Ethena USDe,USDE,0.998853,10500458151,-0.03001
Stellar,XLM,0.326151,10442431901,3.46425
Bitcoin Cash,BCH,507.0,10113024430,1.12837
Sui,SUI,2.54,9217740238,2.08452
USDS,USDS,0.999838,9134819404,-0.05675
Binance Bridged USDT (BNB Smart Chain),BSC-USD,1.0,8988342239,0.03757
WETH,WETH,3932.97,8602878505,0.68559
Avalanche,AVAX,19.59,8349320252,1.25804
LEO Token,LEO,9.0,8300028070,0.48286
Coinbase Wrapped BTC,CBBTC,111330,7832262294,0.71131
Litecoin,LTC,96.38,7367620362,0.43801
Hedera,HBAR,0.172287,7319901498,2.58808
USDT0,USDT0,0.999646,7121244686,-0.05721
Monero,XMR,336.5,6204148747,3.53557
WhiteBIT Coin,WBT,42.36,6104279855,0.60078
Shiba Inu,SHIB,1.017e-05,5988848791,0.39661
Cronos,CRO,0.151988,5468406341,3.46673
Mantle,MNT,1.68,5448800767,2.52084
Toncoin,TON,2.16,5436860498,-0.3765
Ethena Staked USDe,SUSDE,1.2,5136796175,-0.09014
Dai,DAI,0.998157,4697847267,-0.07647
Polkadot,DOT,3.07,4674298922,0.98375
Zcash,ZEC,274.62,4490270091,7.33768
MemeCore,M,2.26,3823949073,4.34831
Bittensor,TAO,389.88,3742443831,1.09179
