title,price,availability,rating,link
A Light in the Attic,Â£51.77,In stock,Three,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Tipping the Velvet,Â£53.74,In stock,One,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Soumission,Â£50.10,In stock,One,https://books.toscrape.com/catalogue/soumission_998/index.html
Sharp Objects,Â£47.82,In stock,Four,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
Sapiens: A Brief History of Humankind,Â£54.23,In stock,Five,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,Â£22.65,In stock,One,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,In stock,Four,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,In stock,Three,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,In stock,Four,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,Â£52.15,In stock,One,https://books.toscrape.com/catalogue/the-black-maria_991/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,In stock,Two,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,Â£20.66,In stock,Four,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
Set Me Free,Â£17.46,In stock,Five,https://books.toscrape.com/catalogue/set-me-free_988/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,In stock,Five,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Rip it Up and Start Again,Â£35.02,In stock,Five,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25,In stock,Three,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,Â£23.88,In stock,One,https://books.toscrape.com/catalogue/olio_984/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,Â£37.59,In stock,One,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,Â£51.33,In stock,Two,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
It's Only the Himalayas,Â£45.17,In stock,Two,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
In Her Wake,Â£12.84,In stock,One,https://books.toscrape.com/in-her-wake_980/index.html
How Music Works,Â£37.32,In stock,Two,https://books.toscrape.com/how-music-works_979/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â£30.52,In stock,Three,https://books.toscrape.com/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Chase Me (Paris Nights #2),Â£25.27,In stock,Five,https://books.toscrape.com/chase-me-paris-nights-2_977/index.html
Black Dust,Â£34.53,In stock,Five,https://books.toscrape.com/black-dust_976/index.html
Birdsong: A Story in Pictures,Â£54.64,In stock,Three,https://books.toscrape.com/birdsong-a-story-in-pictures_975/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â£22.50,In stock,Three,https://books.toscrape.com/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Aladdin and His Wonderful Lamp,Â£53.13,In stock,Three,https://books.toscrape.com/aladdin-and-his-wonderful-lamp_973/index.html
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â£40.30,In stock,Five,https://books.toscrape.com/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
Wall and Piece,Â£44.18,In stock,Four,https://books.toscrape.com/wall-and-piece_971/index.html
The Four Agreements: A Practical Guide to Personal Freedom,Â£17.66,In stock,Five,https://books.toscrape.com/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â£31.05,In stock,Three,https://books.toscrape.com/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
