ID,Title,Price,Slug,Link,ImageURLs
10259473,How can I get in touch with Spring Home about a site visit?,N/A,how-can-get-in-touch-with-spring-home,https://delhi.craigslist.org/how-can-get-in-touch-with-spring-home,https://images.craigslist.org/0gw09i_300x300.jpg
10259342,How can I get in touch with Spring Home about a site visit?,N/A,how-can-get-in-touch-with-spring-home,https://delhi.craigslist.org/how-can-get-in-touch-with-spring-home,https://images.craigslist.org/0gw09i_300x300.jpg
10257405,Beautiful self-catered Service Apartments near Medanta Medicity,"₨2,300",beautiful-self-catered-service,https://delhi.craigslist.org/beautiful-self-catered-service,"https://images.craigslist.org/0ww0ii_300x300.jpg, https://images.craigslist.org/0ww0ii_300x300.jpg, https://images.craigslist.org/0ww0ii_300x300.jpg, https://images.craigslist.org/0ww0ii_300x300.jpg, https://images.craigslist.org/0ww0ii_300x300.jpg, https://images.craigslist.org/0ww0ii_300x300.jpg"
10256441,Fully furnished with private Kitchens & Living Rooms,"₨2,800",fully-furnished-with-private-kitchens,https://delhi.craigslist.org/fully-furnished-with-private-kitchens,"https://images.craigslist.org/0CI0lM_300x300.jpg, https://images.craigslist.org/0CI0lM_300x300.jpg, https://images.craigslist.org/0CI0lM_300x300.jpg, https://images.craigslist.org/0CI0lM_300x300.jpg, https://images.craigslist.org/0CI0lM_300x300.jpg, https://images.craigslist.org/0CI0lM_300x300.jpg, https://images.craigslist.org/0CI0lM_300x300.jpg, https://images.craigslist.org/0CI0lM_300x300.jpg"
10255652,Find the most beautiful flats in Amrapali Zodiac Sector 120 Noida,"₨5,500,000",find-the-most-beautiful-flats-in,https://delhi.craigslist.org/find-the-most-beautiful-flats-in,"https://images.craigslist.org/0co09i_300x300.jpg, https://images.craigslist.org/0960bm_300x300.jpg"
10253393,Buy budget homes according to your budget,N/A,buy-budget-homes-according-to-your,https://delhi.craigslist.org/buy-budget-homes-according-to-your,https://images.craigslist.org/0uY0eX_300x300.jpg
10252221,"Invest Smartly in ACE Edit Studio Apartments, Greater Noida","₨7,700,000",invest-smartly-in-ace-edit-studio,https://delhi.craigslist.org/invest-smartly-in-ace-edit-studio,https://images.craigslist.org/0ew084_300x300.jpg
10248286,Noida Authority Residential Plot Scheme,"₨2,000,000",noida-authority-residential-plot-scheme,https://delhi.craigslist.org/noida-authority-residential-plot-scheme,"https://images.craigslist.org/096064_300x300.jpg, https://images.craigslist.org/096096_300x300.jpg, https://images.craigslist.org/09609r_300x300.jpg"
10031200,Studio near Medanta Medicity Hospital in Sector 38 Gurgaon,"₨2,800",studio-near-medanta-medicity-hospital,https://delhi.craigslist.org/studio-near-medanta-medicity-hospital,"https://images.craigslist.org/0CI0lM_300x300.jpg, https://images.craigslist.org/0CI0lM_300x300.jpg, https://images.craigslist.org/0CI0lM_300x300.jpg, https://images.craigslist.org/0CI0lM_300x300.jpg, https://images.craigslist.org/0CI0lM_300x300.jpg, https://images.craigslist.org/0CI0lM_300x300.jpg, https://images.craigslist.org/0CI0lM_300x300.jpg, https://images.craigslist.org/0CI0lM_300x300.jpg"
10030843,Room with attached washroom near Medanta Medicity Hospital,"₨2,200",room-with-attached-washroom-near,https://delhi.craigslist.org/room-with-attached-washroom-near,"https://images.craigslist.org/0ww0ii_300x300.jpg, https://images.craigslist.org/0ww0ii_300x300.jpg, https://images.craigslist.org/0ww0ii_300x300.jpg, https://images.craigslist.org/0ww0ii_300x300.jpg, https://images.craigslist.org/0ww0ii_300x300.jpg, https://images.craigslist.org/0ww0ii_300x300.jpg"
