S.No,Repository Name,Repository Owner,Repository Stars,Repository details,Repository URL
1,bit,chriswalz,"
          2.2k
",Bit is a modern Git CLI,https://github.com/chriswalz/bit
2,v2ray-core,v2fly,"
          3.5k
",A platform for building proxies to bypass network restrictions.,https://github.com/v2fly/v2ray-core
3,twint,twintproject,"
          8.1k
","An advanced Twitter scraping & OSINT tool written in Python that doesn't use Twitter's API, allowing you to scrape a user's followers, following, Tweets and more while evading most API limitations.",https://github.com/twintproject/twint
4,free-programming-books,EbookFoundation,"
          162k
","
📚 Freely available programming books",https://github.com/EbookFoundation/free-programming-books
5,coding-interview-university,jwasham,"
          137k
",A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university
6,developer-roadmap,kamranahmedse,"
          130k
",Roadmap to becoming a web developer in 2020,https://github.com/kamranahmedse/developer-roadmap
7,h4cker,The-Art-of-Hacking,"
          7.8k
","This repository is primarily maintained by Omar Santos and includes thousands of resources related to ethical hacking  / penetration testing, digital forensics and incident response (DFIR), vulnerability research, exploit development, reverse engineering, and more.",https://github.com/The-Art-of-Hacking/h4cker
8,vue-vben-admin,anncwb,"
          813
","A vue3.0,vue3, vite, antv2.x, typescript management system，Efforts to update in progress...",https://github.com/anncwb/vue-vben-admin
9,Luckysheet,mengshukeji,"
          3.3k
","Luckysheet is an online spreadsheet like excel that is powerful, simple to configure, and completely open source.",https://github.com/mengshukeji/Luckysheet
10,fonos,fonoster,"
          509
","
🚀 An open-source alternative to Twilio.",https://github.com/fonoster/fonos
11,HowToHunt,KathanP19,"
          660
",Tutorials and Things to Do while Hunting Vulnerability.,https://github.com/KathanP19/HowToHunt
12,post-mortems,danluu,"
          6.7k
",A collection of postmortems. Sorry for the delay in merging PRs!,https://github.com/danluu/post-mortems
13,MalwareSourceCode,vxunderground,"
          260
",Collection of malware source code for a variety of platforms in an array of different programming languages.,https://github.com/vxunderground/MalwareSourceCode
14,lede,coolsnowwolf,"
          12.7k
",Lean's OpenWrt source,https://github.com/coolsnowwolf/lede
15,bubbletea,charmbracelet,"
          1.5k
","A powerful little TUI framework 🏗
",https://github.com/charmbracelet/bubbletea
16,FGVC,vt-vl-lab,"
          370
",[ECCV 2020] Flow-edge Guided Video Completion ,https://github.com/vt-vl-lab/FGVC
17,AI_Curriculum,Machine-Learning-Tokyo,"
          1.7k
","Open Deep Learning and Reinforcement Learning lectures from top Universities like Stanford, MIT, UC Berkeley.",https://github.com/Machine-Learning-Tokyo/AI_Curriculum
18,java-design-patterns,iluwatar,"
          61.3k
",Design patterns implemented in Java,https://github.com/iluwatar/java-design-patterns
19,webpack,webpack,"
          56k
","A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.",https://github.com/webpack/webpack
