Job Title,Company Name,Experience,Salary,Location,URL,Page Number
Bike Rider,"Manish KumarSector 7 Gurgaon, Gurgaon (Field job)Skills:Aadhar Card, Bus Driving, Bike, Smartphone, PAN Card, 2- wheeler Driving, Bank Account",4 years,₹80000,Gurgaon,https://www.jobhai.com/driver-bike-rider-job-in-manish-kumar-sector-7-gurgaon-1-to-4-years-1760695735-6709244-jid,1
Bike Rider,N/A,N/A,"Bike Rider ₹ 50,000 - 80,000 per month",N/A,https://www.jobhai.com/driver-bike-rider-job-in-manish-kumar-sector-7-gurgaon-1-to-4-years-1760695735-6709244-jid,1
N/A,N/A,N/A,N/A,N/A,N/A,1
N/A,N/A,4 years,₹80000,View all details,https://www.jobhai.com/driver-bike-rider-job-in-manish-kumar-sector-7-gurgaon-1-to-4-years-1760695735-6709244-jid,1
N/A,N/A,4 years,₹80000,N/A,N/A,1
Ola / Uber Driver,"Shree Krishna Tours And TravelsVasai, Mumbai (Field job)0 - 6+ years Experience in Driver",6+ years,₹40000,Mumbai,https://www.jobhai.com/driver-ola-uber-driver-job-in-shree-krishna-tours-and-travels-vasai-mumbai-0-to-6-plus-years-1760890462-6713711-jid,1
Ola / Uber Driver,N/A,N/A,"Ola / Uber Driver ₹ 30,000 - 40,000 per month *",N/A,https://www.jobhai.com/driver-ola-uber-driver-job-in-shree-krishna-tours-and-travels-vasai-mumbai-0-to-6-plus-years-1760890462-6713711-jid,1
N/A,N/A,6+ years,₹40000,Mumbai,https://www.jobhai.com/driver-ola-uber-driver-job-in-shree-krishna-tours-and-travels-vasai-mumbai-0-to-6-plus-years-1760890462-6713711-jid,1
Ola / Uber Driver,"Shree Krishna Tours And TravelsVirar, Mumbai (Field job)0 - 6+ years Experience in Driver",6+ years,₹40000,Mumbai,https://www.jobhai.com/driver-ola-uber-driver-job-in-shree-krishna-tours-and-travels-virar-mumbai-0-to-6-plus-years-1760886642-6713690-jid,1
Ola / Uber Driver,"Shree Krishna Tours And TravelsNallasopara, Mumbai (Field job)0 - 6+ years Experience in Driver",6+ years,"Ola / Uber Driver ₹ 30,000 - 40,000 per month *",Mumbai,https://www.jobhai.com/driver-ola-uber-driver-job-in-shree-krishna-tours-and-travels-nallasopara-mumbai-0-to-6-plus-years-1760886522-6713689-jid,1
Driver,"Everest FleetNajafgarh, Delhi (Field job)Skills:Luxury Car Driving, Auto/Tempo Driving, Bank Account, Smartphone, Cab Driving, PAN Card, Aadhar Card, Automatic Car Driving, 4-Wheeler Driving Licence, Private Car Driving",72 months,₹55000,Delhi,https://www.jobhai.com/driver-driver-job-in-everest-fleet-private-limited-najafgarh-delhi-0-to-6-years-1760677828-6706981-jid,1
Driver,N/A,N/A,"Driver ₹ 30,000 - 55,000 per month *",N/A,https://www.jobhai.com/driver-driver-job-in-everest-fleet-private-limited-najafgarh-delhi-0-to-6-years-1760677828-6706981-jid,1
N/A,N/A,72 months,₹55000,Delhi,https://www.jobhai.com/driver-driver-job-in-everest-fleet-private-limited-najafgarh-delhi-0-to-6-years-1760677828-6706981-jid,1
Ola / Uber Driver,"Jibz India SystemsJogeshwari (West), Mumbai (Field job)Skills:PAN Card, Cab Driving, Aadhar Card, Bank Account, 4-Wheeler Driving Licence",N/A,"Ola / Uber Driver ₹ 18,000 - 60,000 per month *",Mumbai,https://www.jobhai.com/driver-ola-uber-driver-job-in-jibz-india-systems-private-limited-jogeshwari-west-mumbai-2-to-6-plus-years-1760694151-6708527-jid,1
Ola / Uber Driver,N/A,N/A,"Ola / Uber Driver ₹ 18,000 - 60,000 per month *",N/A,https://www.jobhai.com/driver-ola-uber-driver-job-in-jibz-india-systems-private-limited-jogeshwari-west-mumbai-2-to-6-plus-years-1760694151-6708527-jid,1
Driver,"Everest Fleetkhairatabad, Hyderabad0 - 6 years Experience in Driver",6 years,₹80000,Hyderabad,https://www.jobhai.com/driver-driver-job-in-everest-fleet-khairatabad-hyderabad-0-to-6-years-1760528403-6702207-jid,1
Driver,N/A,N/A,"Driver ₹ 70,000 - 80,000 per month",N/A,https://www.jobhai.com/driver-driver-job-in-everest-fleet-khairatabad-hyderabad-0-to-6-years-1760528403-6702207-jid,1
N/A,N/A,6 years,₹80000,Hyderabad,https://www.jobhai.com/driver-driver-job-in-everest-fleet-khairatabad-hyderabad-0-to-6-years-1760528403-6702207-jid,1
