Question,Answer
"In this C++ code, sorting the data (beforethe timed region) makes the primary loop ~6x faster: #include <algorithm>
#include <ctime>
#include <iostream>

int main()
{
    // Generate data
    const unsigned arraySize = 32768;
    int data[arraySize];

    for (unsigned c = 0; c < arraySize; ++c)
        data[c] = std::rand() % 256;

    // !!! With this, the next loop runs faster.
    std::sort(data, data + arraySize);

    // Test
    clock_t start = clock();
    long long sum = 0;
    for (unsigned i = 0; i < 100000; ++i)
    {
        for (unsigned c = 0; c < arraySize; ++c)
        {   // Primary loop.
            if (data[c] >= 128)
                sum += data[c];
        }
    }

    double elapsedTime = static_cast<double>(clock()-start) / CLOCKS_PER_SEC;

    std::cout << elapsedTime << '\n';
    std::cout << ""sum = "" << sum << '\n';
} (Sorting itself takes more time than this one pass over the array, so it's not actually worth doing if we needed to calculate this for an unknown array.) Initially, I thought this might be just a language or compiler anomaly, so I tried Java: import java.util.Arrays;
import java.util.Random;

public class Main
{
    public static void main(String[] args)
    {
        // Generate data
        int arraySize = 32768;
        int data[] = new int[arraySize];

        Random rnd = new Random(0);
        for (int c = 0; c < arraySize; ++c)
            data[c] = rnd.nextInt() % 256;

        // !!! With this, the next loop runs faster
        Arrays.sort(data);

        // Test
        long start = System.nanoTime();
        long sum = 0;
        for (int i = 0; i < 100000; ++i)
        {
            for (int c = 0; c < arraySize; ++c)
            {   // Primary loop.
                if (data[c] >= 128)
                    sum += data[c];
            }
        }

        System.out.println((System.nanoTime() - start) / 1000000000.0);
        System.out.println(""sum = "" + sum);
    }
} With a similar but less extreme result. My first thought was that sorting brings the data into thecache, but that's silly because the array was just generated. The code is summing up some independent terms, so the order should not matter.","You are a victim ofbranch predictionfail. Consider a railroad junction: Imageby Mecanismo, via Wikimedia Commons. Used under theCC-By-SA 3.0license. Now for the sake of argument, suppose this is back in the 1800s - before long-distance or radio communication. You are a blind operator of a junction and you hear a train coming. You have no idea which way it is supposed to go. You stop the train to ask the driver which direction they want. And then you set the switch appropriately. Trains are heavy and have a lot of inertia, so they take forever to start up and slow down. Is there a better way? You guess which direction the train will go! If you guess right every time, the train will never have to stop.If you guess wrong too often, the train will spend a lot of time stopping, backing up, and restarting. Consider an if-statement:At the processor level, it is a branch instruction:  You are a processor and you see a branch. You have no idea which way it will go. What do you do? You halt execution and wait until the previous instructions are complete. Then you continue down the correct path. Modern processors are complicated and have long pipelines. This means they take forever to ""warm up"" and ""slow down"". Is there a better way? You guess which direction the branch will go! If you guess right every time, the execution will never have to stop.If you guess wrong too often, you spend a lot of time stalling, rolling back, and restarting. This is branch prediction. I admit it's not the best analogy since the train could just signal the direction with a flag. But in computers, the processor doesn't know which direction a branch will go until the last moment. How would you strategically guess to minimize the number of times that the train must back up and go down the other path? You look at the past history! If the train goes left 99% of the time, then you guess left. If it alternates, then you alternate your guesses. If it goes one way every three times, you guess the same... In other words, you try to identify a pattern and follow it.This is more or less how branch predictors work. Most applications have well-behaved branches. Therefore, modern branch predictors will typically achieve >90% hit rates. But when faced with unpredictable branches with no recognizable patterns, branch predictors are virtually useless. Further reading:""Branch predictor"" article on Wikipedia. if (data[c] >= 128)
    sum += data[c]; Notice that the data is evenly distributed between 0 and 255. When the data is sorted, roughly the first half of the iterations will not enter the if-statement. After that, they will all enter the if-statement. This is very friendly to the branch predictor since the branch consecutively goes the same direction many times. Even a simple saturating counter will correctly predict the branch except for the few iterations after it switches direction. Quick visualization: T = branch taken
N = branch not taken

data[] = 0, 1, 2, 3, 4, ... 126, 127, 128, 129, 130, ... 250, 251, 252, ...
branch = N  N  N  N  N  ...   N    N    T    T    T  ...   T    T    T  ...

       = NNNNNNNNNNNN ... NNNNNNNTTTTTTTTT ... TTTTTTTTTT  (easy to predict) However, when the data is completely random, the branch predictor is rendered useless, because it can't predict random data. Thus there will probably be around 50% misprediction (no better than random guessing). data[] = 226, 185, 125, 158, 198, 144, 217, 79, 202, 118,  14, 150, 177, 182, ...
branch =   T,   T,   N,   T,   T,   T,   T,  N,   T,   N,   N,   T,   T,   T  ...

       = TTNTTTTNTNNTTT ...   (completely random - impossible to predict) What can be done? If the compiler isn't able to optimize the branch into a conditional move, you can try some hacks if you are willing to sacrifice readability for performance. Replace: if (data[c] >= 128)
    sum += data[c]; with: int t = (data[c] - 128) >> 31;
sum += ~t & data[c]; This eliminates the branch and replaces it with some bitwise operations. (Note that this hack is not strictly equivalent to the original if-statement. But in this case, it's valid for all the input values ofdata[].) Benchmarks: Core i7 920 @ 3.5 GHz C++ - Visual Studio 2010 - x64 Release Java - NetBeans 7.1.1 JDK 7 - x64 Observations: A general rule of thumb is to avoid data-dependent branching in critical loops (such as in this example). Update: GCC 4.6.1 with-O3or-ftree-vectorizeon x64 is able to generate a conditional move, so there is no difference between the sorted and unsorted data - both are fast.  This is called ""if-conversion"" (to branchless) and is necessary for vectorization but also sometimes good for scalar. (Or somewhat fast: for the already-sorted case,cmovcan be slower especially if GCC puts it on the critical path instead of justadd, especially on Intel before Broadwell wherecmovhas 2-cycle latency:gcc optimization flag -O3 makes code slower than -O2) VC++ 2010 is unable to generate conditional moves for this branch even under/Ox. Intel C++ Compiler(ICC) 11 does something miraculous. Itinterchanges the two loops, thereby hoisting the unpredictable branch to the outer loop. Not only is it immune to the mispredictions, it's also twice as fast as whatever VC++ and GCC can generate! In other words, ICC took advantage of the test-loop to defeat the benchmark... If you give the Intel compiler the branchless code, it just outright vectorizes it... and is just as fast as with the branch (with the loop interchange). This goes to show that even mature modern compilers can vary wildly in their ability to optimize code..."
"After readingHidden Features and Dark Corners of C++/STLoncomp.lang.c++.moderated, I was completely surprised that the following snippet compiled and worked in both Visual Studio 2008 and G++ 4.4. I would assume this is also valid C since it works in GCC as well. Here's the code: #include <stdio.h>
int main()
{
    int x = 10;
    while (x --> 0) // x goes to 0
    {
        printf(""%d "", x);
    }
} Output: 9 8 7 6 5 4 3 2 1 0 Where is this defined in the standard, and where has it come from?","-->is not an operator. It is in fact two separate operators,--and>. The code in the condition decrementsx, while returningx's original (not decremented) value, and then compares the original value with0using the>operator. To better understand, the statement could be written as follows: while( (x--) > 0 )"
"This question attempts to collect the few pearls among the dozens of bad C++ books that are published every year. Unlike many other programming languages, which are often picked up on the go from tutorials found on the Internet, few are able to quickly pick up C++ without studying a well-written C++ book. It is way too big and complex for doing this. In fact, it is so big and complex, thatthere are very many very bad C++ booksout there. And we are not talking about bad style, but things like sportingglaringly obvious factual errorsandpromoting abysmally bad programming styles. Please edit the accepted answer to providequality booksand an approximate skill level —preferablyafterdiscussing your addition inthe C++ chat room. (The regulars might mercilessly undo your work if they disagree with a recommendation.) Add a short blurb/description about each book that you have personally read/benefited from. Feel free to debate quality, headings, etc. Books that meet the criteria will be added to the list.  Books that have reviews by the Association of C and C++ Users (ACCU) have links to the review. *Note: FAQs and other resources can be found in theC++ tag infoand underc++-faq.","C++11/14/17/… References: Working Draft, Standard for Programming Language C++generated fromLaTeX sources published on GitHub. C++ Standard Papers, latest standard working draft:ISO working draft The C++11/14/17Standard (INCITS/ISO/IEC 14882:2011/2014/2017)This, of course, is the final arbiter of all that is or isn't C++. Be aware, however, that it is intended purely as a reference forexperiencedusers willing to devote considerable time and effort to its understanding. The C++17 standard is released in electronic form for 198 Swiss Francs. The C++17 standard is available, but seemingly not in an economical form –directly from the ISOit costs 198 Swiss Francs (about $200 US). For most people, thefinal draft before standardizationis more than adequate (and free). Many will prefer aneven newer draft, documenting new features that are likely to be included in C++20. C++20 draftis available on GitHub assome older too. Overview of the New C++ (C++11/14) (PDF only)(Scott Meyers) (updated for C++14) These are the presentation materials (slides and some lecture notes) of a three-day training course offered by Scott Meyers, who's a highly respected author on C++. Even though the list of items is short, the quality is high. TheC++ Core Guidelines (C++11/14/17/…)(edited by Bjarne Stroustrup and Herb Sutter) is an evolving online document consisting of a set of guidelines for using modern C++ well. The guidelines are focused on relatively higher-level issues, such as interfaces, resource management, memory management, and concurrency affecting application architecture and library design. The project wasannounced at CppCon'15 by Bjarne Stroustrup and othersand welcomes contributions from the community. Most guidelines are supplemented with a rationale and examples as well as discussions of possible tool support. Many rules are designed specifically to be automatically checkable by static analysis tools. TheC++ Super-FAQ(Marshall Cline, Bjarne Stroustrup, and others) is an effort by the Standard C++ Foundation to unify the C++ FAQs previously maintained individually by Marshall Cline and Bjarne Stroustrup and also incorporating new contributions. The items mostly address issues at an intermediate level and are often written with a humorous tone. Not all items might be fully up to date with the latest edition of the C++ standard yet. cppreference.com (C++03/11/14/17/…)(initiated by Nate Kohl) is a wiki that summarizes the basic core-language features and has extensive documentation of the C++ standard library. The documentation is very precise but is easier to read than the official standard document and provides better navigation due to its wiki nature. The project documents all versions of the C++ standard and the site allows filtering the display for a specific version. The project waspresented by Nate Kohl at CppCon'14. Note:Some information contained within these books may not be up-to-date or no longer considered best practice. The Design and Evolution of C++(Bjarne Stroustrup)  If you want to knowwhythe language is the way it is, this book is where you find answers. This covers everythingbefore the standardizationof C++. Ruminations on C++- (Andrew Koenig and Barbara Moo)[Review] Advanced C++ Programming Styles and Idioms(James Coplien)  A predecessor of the pattern movement, it describes many C++-specific “idioms”. It's certainly a very good book and might still be worth a read if you can spare the time, but quite old and not up-to-date with current C++. Large Scale C++ Software Design(John Lakos)  Lakos explains techniques to manage very big C++ software projects. Certainly, a good read, if it only was up to date. It was written long before C++ 98 and misses on many features (e.g. namespaces) important for large-scale projects. If you need to work on a big C++ software project, you might want to read it, although you need to take more than a grain of salt with it. Not to be confused with the extended and later book series Large Scale C++ volume I-III. Inside the C++ Object Model(Stanley Lippman)  If you want to know how virtual member functions are commonly implemented and how base objects are commonly laid out in memory in a multi-inheritance scenario, and how all this affects performance, this is where you will find thorough discussions of such topics. The Annotated C++ Reference Manual(Bjarne Stroustrup, Margaret A. Ellis) This book is quite outdated in the fact that it explores the 1989 C++ 2.0 version - Templates, exceptions, namespaces, and new casts were not yet introduced. Saying that however, this book goes through the entire C++ standard of the time explaining the rationale, the possible implementations, and features of the language. This is not a book to learn programming principles and patterns on C++, but to understand every aspect of the C++ language. Thinking in C++(Bruce Eckel, 2nd Edition, 2000).  Two volumes; is a tutorial-stylefreeset of intro-level books. Downloads:vol 1,vol 2. Unfortunately, they're marred by a number of trivial errors (e.g. maintaining that temporaries are automaticconst), with no official errata list. A partial 3rdparty errata list is available athttp://www.computersciencelab.com/Eckel.htm, but it is apparently not maintained. Scientific and Engineering C++: An Introduction to Advanced Techniques and Examples(John Barton and Lee Nackman)
It is a comprehensive and very detailed book that tried to explain and make use of all the features available in C++, in the context of numerical methods. It introduced at the time several new techniques, such as the Curiously Recurring Template Pattern (CRTP, also called Barton-Nackman trick).
It pioneered several techniques such as dimensional analysis and automatic differentiation.
It came with a lot of compilable and useful code, ranging from an expression parser to a Lapack wrapper.
The code isstill available online.
Unfortunately, the books have become somewhat outdated in style and C++ features, however, it was an incredible tour-de-force at the time (1994, pre-STL).
The chapters on dynamics inheritance are a bit complicated to understand and not very useful.
An updated version of this classic book that includes move semantics and the lessons learned from the STL would be very nice."
What is the difference between a pointer variable and a reference variable?,"A pointer can be re-assigned: int x = 5;
int y = 6;
int *p;
p = &x;
p = &y;
*p = 10;
assert(x == 5);
assert(y == 10); A reference cannot be re-bound, and must be bound at initialization: int x = 5;
int y = 6;
int &q; // error
int &r = x; A pointer variable has its own identity: a distinct, visible memory address that can be taken with the unary&operator and a certain amount of space that can be measured with thesizeofoperator. Using those operators on a reference returns a value corresponding to whatever the reference is bound to; the reference’s own address and size are invisible. Since the reference assumes the identity of the original variable in this way, it is convenient to think of a reference as another name for the same variable. int x = 0;
int &r = x;
int *p = &x;
int *p2 = &r;

assert(p == p2); // &x == &r
assert(&p != &p2); It is possible to create a pointer to a pointer, but not a pointer to a reference. int **pp; // OK, pointer to pointer
 int &*pr; // ill-formed, pointer to reference It is possible to create an array of pointers, but not an array of references. int *ap[]; // OK, array of pointers
int &ar[]; // ill-formed, array of references You can have arbitrarily nested pointers to pointers offering extra levels of indirection. References only offer one level of indirection because references to referencescollapse. int x = 0;
int y = 0;
int *p = &x;
int *q = &y;
int **pp = &p;

**pp = 2;
pp = &q; // *pp is now q
**pp = 4;

assert(y == 4);
assert(x == 2); A pointer can be assignednullptr, whereas a reference must be bound to an existing object. If you try hard enough, you can bind a reference tonullptr, but this isundefinedand will not behave consistently. /* the code below is undefined; your compiler may optimise it
 * differently, emit warnings, or outright refuse to compile it */

int &r = *static_cast<int *>(nullptr);

// prints ""null"" under GCC 10
std::cout
    << (&r != nullptr
        ? ""not null"" : ""null"")
    << std::endl;

bool f(int &r) { return &r != nullptr; }

// prints ""not null"" under GCC 10
std::cout
    << (f(*static_cast<int *>(nullptr))
        ? ""not null"" : ""null"")
    << std::endl; You can, however, have a reference to a pointer whose value isnullptr. Pointers areContiguousIterators(of an array). You can use++to go to the next item that a pointer is pointing to, and+ 4to go to the 5th element. A pointer needs to be dereferenced with*to access the object it points to, whereas a reference can be used directly.  A pointer to a class/struct uses->to access its members whereas a reference uses a.. Const references and rvalue references can be bound to temporaries (seetemporary materialization). Pointers cannot (not without some indirection): const int &x = int(12); // legal C++
int *y = &int(12); // illegal to take the address of a temporary. This makesconst &more convenient to use in argument lists and so forth."
What does theexplicitkeyword mean in C++?,"The compiler is allowed to make one implicit conversion to resolve the parameters to a function. This means that the compiler can use constructors callable with asingle parameterto convert from one type to another in order to get the right type for a parameter. Here's an example withconverting constructorsthat shows how it works: struct Foo {
    // Single parameter constructor, can be used as an implicit conversion.
    // Such a constructor is called ""converting constructor"".
    Foo(int x) {}
};
struct Faz {
    // Also a converting constructor.
    Faz(Foo foo) {}
};

// The parameter is of type Foo, not of type int, so it looks like
// we have to pass a Foo.
void bar(Foo foo) {};

int main() {
    // However, the converting constructor allows us to pass an int.
    bar(42);
    // Also allowed thanks to the converting constructor.
    Foo foo = 42;
    // Error! This would require two conversions (int -> Foo -> Faz).
    Faz faz = 42;
} Prefixing theexplicitkeyword to the constructor prevents the compiler from using that constructor for implicit conversions. Adding it to the above class will create a compiler error at the function callbar(42).  It is now necessary to call for conversion explicitly withbar(Foo(42)) The reason you might want to do this is to avoid accidental construction that can hide bugs.Contrived example:"
"I have heardusing namespace std;is wrong, and that I should usestd::coutandstd::cindirectly instead. Why is this? Does it risk declaring variables that share the same name as something in thestdnamespace? Are there performance implications?","Consider two libraries called Foo and Bar: using namespace foo;
using namespace bar; Everything works fine, and you can callBlah()from Foo andQuux()from Bar without problems. But one day you upgrade to a new version of Foo 2.0, which now offers a function calledQuux(). Now you've got a conflict: Both Foo 2.0 and Bar importQuux()into your global namespace. This is going to take some effort to fix, especially if the function parameters happen to match. If you had usedfoo::Blah()andbar::Quux(), then the introduction offoo::Quux()would have been a non-event."
"How do I iterate over the words of a string composed of words separated by whitespace? Note that I'm not interested in C string functions or that kind of character manipulation/access. I prefer elegance over efficiency. My current solution: #include <iostream>
#include <sstream>
#include <string>

using namespace std;

int main() {
    string s = ""Somewhere down the road"";
    istringstream iss(s);

    do {
        string subs;
        iss >> subs;
        cout << ""Substring: "" << subs << endl;
    } while (iss);
}","I use this to split string by a delimiter. The first puts the results in a pre-constructed vector, the second returns a new vector. #include <string>
#include <sstream>
#include <vector>
#include <iterator>

template <typename Out>
void split(const std::string &s, char delim, Out result) {
    std::istringstream iss(s);
    std::string item;
    while (std::getline(iss, item, delim)) {
        *result++ = item;
    }
}

std::vector<std::string> split(const std::string &s, char delim) {
    std::vector<std::string> elems;
    split(s, delim, std::back_inserter(elems));
    return elems;
} Note that this solution does not skip empty tokens, so the following will find 4 items, one of which is empty: std::vector<std::string> x = split(""one:two::three"", ':');"
What are the proper uses of: How does one decide which to use in which specific cases?,"static_castis the first cast you should attempt to use. It does things like implicit conversions between types (such asinttofloat, or pointer tovoid*), and it can also call explicit conversion functions (or implicit ones). In many cases, explicitly statingstatic_castisn't necessary, but it's important to note that theT(something)syntax is equivalent to(T)somethingand should be avoided (more on that later). AT(something, something_else)is safe, however, and guaranteed to call the constructor. static_castcan also cast through inheritance hierarchies. It is unnecessary when casting upwards (towards a base class), but when casting downwards it can be used as long as it doesn't cast throughvirtualinheritance. It does not do checking, however, and it is undefined behavior tostatic_castdown a hierarchy to a type that isn't actually the type of the object. const_castcan be used to remove or addconstto a variable; no other C++ cast is capable of removing it (not evenreinterpret_cast). It is important to note that modifying a formerlyconstvalue is only undefined if the original variable isconst; if you use it to take theconstoff a reference to something that wasn't declared withconst, it is safe. This can be useful when overloading member functions based onconst, for instance. It can also be used to addconstto an object, such as to call a member function overload. const_castalso works similarly onvolatile, though that's less common. dynamic_castis exclusively used for handling polymorphism. You can cast a pointer or reference to any polymorphic type to any other class type (a polymorphic type has at least one virtual function, declared or inherited). You can use it for more than just casting downwards – you can cast sideways or even up another chain. Thedynamic_castwill seek out the desired object and return it if possible. If it can't, it will returnnullptrin the case of a pointer, or throwstd::bad_castin the case of a reference. dynamic_casthas some limitations, though. It doesn't work if there are multiple objects of the same type in the inheritance hierarchy (the so-called 'dreaded diamond') and you aren't usingvirtualinheritance. It also can only go through public inheritance - it will always fail to travel throughprotectedorprivateinheritance. This is rarely an issue, however, as such forms of inheritance are rare. reinterpret_castis the most dangerous cast, and should be used very sparingly. It turns one type directly into another — such as casting the value from one pointer to another, or storing a pointer in anint, or all sorts of other nasty things. Largely, the only guarantee you get withreinterpret_castis that normally if you cast the result back to the original type, you will get the exact same value (butnotif the intermediate type is smaller than the original type). There are a number of conversions thatreinterpret_castcannot do, too. It's often abused for particularly weird conversions and bit manipulations, like turning a raw data stream into actual data, or storing data in the low bits of a pointer to aligned data. For those cases, seestd::bit_cast. C-style cast and function-style cast are casts using(type)objectortype(object), respectively, and are functionally equivalent. They are defined as the first of the following which succeeds: It can therefore be used as a replacement for other casts in some instances, but can be extremely dangerous because of the ability to devolve into areinterpret_cast, and the latter should be preferred when explicit casting is needed, unless you are surestatic_castwill succeed orreinterpret_castwill fail. Even then, consider the longer, more explicit option. C-style casts also ignore access control when performing astatic_cast, which means that they have the ability to perform an operation that no other cast can. This is mostly a kludge, though, and in my mind is just another reason to avoid C-style casts. std::bit_castcopies the bits and bytes of the source object (its representation) directly into a new object of the target type.  It's a standards-compliant way to do type punning.  If you find yourself writing*reinterpret_cast<SomeType*>(&x), you probably should usestd::bit_cast<SomeType>(x)instead. std::bit_castis declared in<bit>.  The objects must be the same size and be trivially copyable.  If you can't yet use C++20, usememcpyto copy the source value into a variable of the desired type."
"How can I set, clear, and toggle a bit?","Use the bitwise OR operator (|) to setnth bit ofnumberto1. // Can be whatever unsigned integer type you want, but
// it's important to use the same type everywhere to avoid
// performance issues caused by mixing integer types.
typedef unsigned long Uint;

// In C++, this can be template.
// In C11, you can make it generic with _Generic, or with macros prior to C11.
inline Uint bit_set(Uint number, Uint n) {
    return number | ((Uint)1 << n);
} Note that it's undefined behavior to shift by more than the width of aUint. The same applies to all remaining examples. Use the bitwise AND operator (&) to set thenth bit ofnumberto0. inline Uint bit_clear(Uint number, Uint n) {
    return number & ~((Uint)1 << n);
} You must invert the bit string with the bitwise NOT operator (~), then AND it. Use the bitwise XOR operator (^) to toggle thenth bit ofnumber. inline Uint bit_toggle(Uint number, Uint n) {
    return number ^ ((Uint)1 << n);
} You didn't ask for this, but I might as well add it. To check a bit, shiftnumbernto the right, then bitwise AND it: // bool requires #include <stdbool.h> prior to C23
inline bool bit_check(Uint number, Uint n) {
    return (number >> n) & (Uint)1;
} There are alternatives with worse codegen, but the best way is to clear the bit like inbit_clear, then set the bit to value, similar tobit_set. inline Uint bit_set_to(Uint number, Uint n, bool x) {
    return (number & ~((Uint)1 << n)) | ((Uint)x << n);
} All solutions have been tested to provide optimal codegen with GCC and clang. Seehttps://godbolt.org/z/Wfzh8xsjW."
What is the difference between using angle brackets and quotes in anincludedirective?,"What differs is the locations in which the preprocessor searches for the file to be included. #include <filename>The preprocessor searches in an implementation-defined manner, normally in directories pre-designated by the compiler/IDE. This method is normally used to include header files for the C standard library and other header files associated with the target platform. #include ""filename""The preprocessor also searches in an implementation-defined manner, but one that is normally used to include programmer-defined header files and typically includes same directory as the file containing the directive (unless an absolute path is given). For GCC, a more complete description is available in the GCCdocumentation on search paths."
