Question,Answer
How do I remove a specific value from an array? Something like: array.remove(value); Constraints: I have to usecoreJavaScript. Frameworks are not allowed.,"Find theindexof the array element you want to remove usingindexOf, and then remove that index withsplice. The splice() method changes the contents of an array by removing
existing elements and/or adding new elements. const array = [2, 5, 9];

console.log(array);

const index = array.indexOf(5);
if (index > -1) { // only splice array when item is found
  array.splice(index, 1); // 2nd parameter means remove one item only
}

// array = [2, 9]
console.log(array); const array = [2, 5, 9];

console.log(array);

const index = array.indexOf(5);
if (index > -1) { // only splice array when item is found
  array.splice(index, 1); // 2nd parameter means remove one item only
}

// array = [2, 9]
console.log(array); The second parameter ofspliceis the number of elements to remove. Note thatsplicemodifies the array in place and returns a new array containing the elements that have been removed. For completeness, here are functions. The first function removes only a single occurrence (e.g., removing the first match of5from[2,5,9,1,5,8,5]), while the second function removes all occurrences: function removeItemOnce(arr, value) {
  var index = arr.indexOf(value);
  if (index > -1) {
    arr.splice(index, 1);
  }
  return arr;
}

function removeItemAll(arr, value) {
  var i = 0;
  while (i < arr.length) {
    if (arr[i] === value) {
      arr.splice(i, 1);
    } else {
      ++i;
    }
  }
  return arr;
}
// Usage
console.log(removeItemOnce([2,5,9,1,5,8,5], 5))
console.log(removeItemAll([2,5,9,1,5,8,5], 5)) function removeItemOnce(arr, value) {
  var index = arr.indexOf(value);
  if (index > -1) {
    arr.splice(index, 1);
  }
  return arr;
}

function removeItemAll(arr, value) {
  var i = 0;
  while (i < arr.length) {
    if (arr[i] === value) {
      arr.splice(i, 1);
    } else {
      ++i;
    }
  }
  return arr;
}
// Usage
console.log(removeItemOnce([2,5,9,1,5,8,5], 5))
console.log(removeItemAll([2,5,9,1,5,8,5], 5)) In TypeScript, these functions can stay type-safe with a type parameter: function removeItem<T>(arr: Array<T>, value: T): Array<T> {
  const index = arr.indexOf(value);
  if (index > -1) {
    arr.splice(index, 1);
  }
  return arr;
}"
"How do I toggle the visibility of an element using.hide(),.show(), or.toggle()? How do I test if an element isvisibleorhidden?","Since the question refers to a single element, this code might be more suitable: // Checks CSS content for display:[none|block], ignores visibility:[true|false]
$(element).is("":visible"");

// The same works with hidden
$(element).is("":hidden""); It is the same astwernt's suggestion, but applied to a single element; and itmatches the algorithm recommended in the jQuery FAQ. We use jQuery'sis()to check the selected element with another element, selector or any jQuery object. This method traverses along the DOM elements to find a match, which satisfies the passed parameter. It will return true if there is a match, otherwise return false."
"Recently, I ran some of my JavaScript code through Crockford'sJSLint, and it gave the following error: Problem at line 1 character 1: Missing ""use strict"" statement. Doing some searching, I realized that some people add""use strict"";into their JavaScript code. Once I added the statement, the error stopped appearing. Unfortunately, Google did not reveal much of the history behind this string statement. Certainly it must have something to do with how the JavaScript is interpreted by the browser, but I have no idea what the effect would be. So what is""use strict"";all about, what does it imply, and is it still relevant? Do any of the current browsers respond to the""use strict"";string or is it for future use?","Insidenative ECMAScript modules(withimportandexportstatements) andES6 classes, strict mode is always enabled and cannot be disabled. This article about Javascript Strict Mode might interest you:John Resig - ECMAScript 5 Strict Mode, JSON, and More To quote some interesting parts: Strict Mode is a new feature in ECMAScript 5 that allows you to place a program, or a function, in a ""strict"" operating context. This strict context prevents certain actions from being taken and throws more exceptions. And: Strict mode helps out in a couple ways: Also note you can apply ""strict mode"" to the whole file... Or you can use it only for a specific function(still quoting from John Resig's article): // Non-strict code...

(function(){
  ""use strict"";

  // Define your library strictly...
})();

// Non-strict code... Which might be helpful if you have to mix old and new code ;-) So, I suppose it's a bit like the""use strict""you can use in Perl(hence the name?): it helps you make fewer errors, by detecting more things that could lead to breakages. Strict mode is nowsupported by all major browsers."
How can I redirect the user from one page to another using jQuery or pure JavaScript?,"jQuery is not necessary, andwindow.location.replace(...)will best simulate an HTTP redirect. window.location.replace(...)is better than usingwindow.location.href, becausereplace()does not keep the originating page in the session history, meaning the user won't get stuck in a never-ending back-button fiasco. If you want to simulate someone clicking on a link, uselocation.href If you want to simulate an HTTP redirect, uselocation.replace For example: // similar behavior as an HTTP redirect
window.location.replace(""https://stackoverflow.com"");

// similar behavior as clicking on a link
window.location.href = ""https://stackoverflow.com"";"
"I've recently started maintaining someone else's JavaScript code. I'm fixing bugs, adding features and also trying to tidy up the code and make it more consistent. The previous developer used two ways of declaring functions and I can't work out if there is a reason behind it or not. The two ways are: var functionOne = function() {
    // Some code
}; And, function functionTwo() {
    // Some code
} What are the reasons for using these two different methods and what are the pros and cons of each? Is there anything that can be done with one method that can't be done with the other?","The difference is thatfunctionOneis afunction expressionand so only defined when that line is reached, whereasfunctionTwois afunction declarationand is defined as soon as its surrounding function or script is executed (due tohoisting). For example, a function expression: // TypeError: functionOne is not a function
functionOne();

var functionOne = function() {
  console.log(""Hello!"");
}; // TypeError: functionOne is not a function
functionOne();

var functionOne = function() {
  console.log(""Hello!"");
}; And, a function declaration: // Outputs: ""Hello!""
functionTwo();

function functionTwo() {
  console.log(""Hello!"");
} // Outputs: ""Hello!""
functionTwo();

function functionTwo() {
  console.log(""Hello!"");
} Historically, function declarations defined within blocks were handled inconsistently between browsers.Strict mode(introduced in ES5) resolved this by scoping function declarations to their enclosing block. 'use strict';    
{ // note this block!
  function functionThree() {
    console.log(""Hello!"");
  }
}
functionThree(); // ReferenceError 'use strict';    
{ // note this block!
  function functionThree() {
    console.log(""Hello!"");
  }
}
functionThree(); // ReferenceError"
"How would you explain JavaScript closures to someone with a knowledge of the concepts they consist of (for example functions, variables and the like), but does not understand closures themselves? I have seenthe Scheme examplegiven on Wikipedia, but unfortunately it did not help.","A closure is a pairing of: A lexical environment is part of every execution context (stack frame) and is a map between identifiers (i.e. local variable names) and values. Every function in JavaScript maintains a reference to its outer lexical environment. This reference is used to configure the execution context created when a function is invoked. This reference enables code inside the function to ""see"" variables declared outside the function, regardless of when and where the function is called. If a function was called by a function, which in turn was called by another function, then a chain of references to outer lexical environments is created. This chain is called the scope chain. In the following code,innerforms a closure with the lexical environment of the execution context created whenfoois invoked,closing overvariablesecret: function foo() {
  const secret = Math.trunc(Math.random() * 100)
  return function inner() {
    console.log(`The secret number is ${secret}.`)
  }
}
const f = foo() // `secret` is not directly accessible from outside `foo`
f() // The only way to retrieve `secret` is to invoke `f` function foo() {
  const secret = Math.trunc(Math.random() * 100)
  return function inner() {
    console.log(`The secret number is ${secret}.`)
  }
}
const f = foo() // `secret` is not directly accessible from outside `foo`
f() // The only way to retrieve `secret` is to invoke `f` In other words: in JavaScript, functions carry a reference to a private ""box of state"", to which only they (and any other functions declared within the same lexical environment) have access. This box of the state is invisible to the caller of the function, delivering an excellent mechanism for data-hiding and encapsulation. And remember: functions in JavaScript can be passed around like variables (first-class functions), meaning these pairings of functionality and state can be passed around your program, similar to how you might pass an instance of a class around in C++. If JavaScript did not have closures, then more states would have to be passed between functionsexplicitly, making parameter lists longer and code noisier. So, if you want a function to always have access to a private piece of state, you can use a closure. ...and frequently wedowant to associate the state with a function. For example, in Java or C++, when you add a private instance variable and a method to a class, you are associating the state with functionality. In C and most other common languages, after a function returns, all the local variables are no longer accessible because the stack-frame is destroyed. In JavaScript, if you declare a function within another function, then the local variables of the outer function can remain accessible after returning from it. In this way, in the code above,secretremains available to the function objectinner,afterit has been returned fromfoo. Closures are useful whenever you need a private state associated with a function. This is a very common scenario - and remember: JavaScript did not have a class syntax until 2015, and it still does not have a private field syntax. Closures meet this need. In the following code, the functiontoStringcloses over the details of the car. function Car(manufacturer, model, year, color) {
  return {
    toString() {
      return `${manufacturer} ${model} (${year}, ${color})`
    }
  }
}

const car = new Car('Aston Martin', 'V8 Vantage', '2012', 'Quantum Silver')
console.log(car.toString()) function Car(manufacturer, model, year, color) {
  return {
    toString() {
      return `${manufacturer} ${model} (${year}, ${color})`
    }
  }
}

const car = new Car('Aston Martin', 'V8 Vantage', '2012', 'Quantum Silver')
console.log(car.toString()) In the following code, the functioninnercloses over bothfnandargs. function curry(fn) {
  const args = []
  return function inner(arg) {
    if(args.length === fn.length) return fn(...args)
    args.push(arg)
    return inner
  }
}

function add(a, b) {
  return a + b
}

const curriedAdd = curry(add)
console.log(curriedAdd(2)(3)()) // 5 function curry(fn) {
  const args = []
  return function inner(arg) {
    if(args.length === fn.length) return fn(...args)
    args.push(arg)
    return inner
  }
}

function add(a, b) {
  return a + b
}

const curriedAdd = curry(add)
console.log(curriedAdd(2)(3)()) // 5 In the following code, functiononClickcloses over variableBACKGROUND_COLOR. const $ = document.querySelector.bind(document)
const BACKGROUND_COLOR = 'rgba(200, 200, 242, 1)'

function onClick() {
  $('body').style.background = BACKGROUND_COLOR
}

$('button').addEventListener('click', onClick)<button>Set background color</button> const $ = document.querySelector.bind(document)
const BACKGROUND_COLOR = 'rgba(200, 200, 242, 1)'

function onClick() {
  $('body').style.background = BACKGROUND_COLOR
}

$('button').addEventListener('click', onClick) <button>Set background color</button> In the following example, all the implementation details are hidden inside an immediately executed function expression. The functionstickandtoStringclose over the private state and functions they need to complete their work. Closures have enabled us to modularize and encapsulate our code. let namespace = {};

(function foo(n) {
  let numbers = []

  function format(n) {
    return Math.trunc(n)
  }

  function tick() {
    numbers.push(Math.random() * 100)
  }

  function toString() {
    return numbers.map(format)
  }

  n.counter = {
    tick,
    toString
  }
}(namespace))

const counter = namespace.counter
counter.tick()
counter.tick()
console.log(counter.toString()) let namespace = {};

(function foo(n) {
  let numbers = []

  function format(n) {
    return Math.trunc(n)
  }

  function tick() {
    numbers.push(Math.random() * 100)
  }

  function toString() {
    return numbers.map(format)
  }

  n.counter = {
    tick,
    toString
  }
}(namespace))

const counter = namespace.counter
counter.tick()
counter.tick()
console.log(counter.toString()) This example shows that the local variables are not copied in the closure: the closure maintains a reference to the original variablesthemselves. It is as though the stack-frame stays alive in memory even after the outer function exits. function foo() {
  let x = 42
  let inner = () => console.log(x)
  x = x + 1
  return inner
}

foo()() // logs 43 function foo() {
  let x = 42
  let inner = () => console.log(x)
  x = x + 1
  return inner
}

foo()() // logs 43 In the following code, three methodslog,increment, andupdateall close over the same lexical environment. And every timecreateObjectis called, a new execution context (stack frame) is created and a completely new variablex, and a new set of functions (logetc.) are created, that close over this new variable. function createObject() {
  let x = 42;
  return {
    log() { console.log(x) },
    increment() { x++ },
    update(value) { x = value }
  }
}

const o = createObject()
o.increment()
o.log() // 43
o.update(5)
o.log() // 5
const p = createObject()
p.log() // 42 function createObject() {
  let x = 42;
  return {
    log() { console.log(x) },
    increment() { x++ },
    update(value) { x = value }
  }
}

const o = createObject()
o.increment()
o.log() // 43
o.update(5)
o.log() // 5
const p = createObject()
p.log() // 42 If you are using variables declared usingvar, be careful you understand which variable you are closing over. Variables declared usingvarare hoisted. This is much less of a problem in modern JavaScript due to the introduction ofletandconst. In the following code, each time around the loop, a new functioninneris created, which closes overi. But becausevar iis hoisted outside the loop, all of these inner functions close over the same variable, meaning that the final value ofi(3) is printed, three times. function foo() {
  var result = []
  for (var i = 0; i < 3; i++) {
    result.push(function inner() { console.log(i) } )
  }

  return result
}

const result = foo()
// The following will print `3`, three times...
for (var i = 0; i < 3; i++) {
  result[i]() 
} function foo() {
  var result = []
  for (var i = 0; i < 3; i++) {
    result.push(function inner() { console.log(i) } )
  }

  return result
}

const result = foo()
// The following will print `3`, three times...
for (var i = 0; i < 3; i++) {
  result[i]() 
}"
"Given an object: let myObject = {
  ""ircEvent"": ""PRIVMSG"",
  ""method"": ""newURI"",
  ""regex"": ""^http://.*""
}; How do I remove the propertyregexto end up with the followingmyObject? let myObject = {
  ""ircEvent"": ""PRIVMSG"",
  ""method"": ""newURI""
};","To remove a property from an object (mutating the object), you can do it by using thedeletekeyword, like this: delete myObject.regex;
// or,
delete myObject['regex'];
// or,
var prop = ""regex"";
delete myObject[prop]; Demo var myObject = {
  ""ircEvent"": ""PRIVMSG"",
  ""method"": ""newURI"",
  ""regex"": ""^http://.*""
};
delete myObject.regex;

console.log(myObject); var myObject = {
  ""ircEvent"": ""PRIVMSG"",
  ""method"": ""newURI"",
  ""regex"": ""^http://.*""
};
delete myObject.regex;

console.log(myObject); For anyone interested in reading more about it, Stack Overflow userkangaxhas written an incredibly in-depth blog post about thedeletestatement on their blog,Understanding delete. It is highly recommended. If you'd like anewobject with all the keys of the original except some, you could usedestructuring. Demolet myObject = {
  ""ircEvent"": ""PRIVMSG"",
  ""method"": ""newURI"",
  ""regex"": ""^http://.*""
};

// assign the key regex to the variable _ indicating it will be unused
const { regex: _, ...newObj } = myObject;

console.log(newObj);   // has no 'regex' key
console.log(myObject); // remains unchanged let myObject = {
  ""ircEvent"": ""PRIVMSG"",
  ""method"": ""newURI"",
  ""regex"": ""^http://.*""
};

// assign the key regex to the variable _ indicating it will be unused
const { regex: _, ...newObj } = myObject;

console.log(newObj);   // has no 'regex' key
console.log(myObject); // remains unchanged"
"Usually I would expect aString.contains()method, but there doesn't seem to be one. What is a reasonable way to check for this?","ECMAScript 6  introducedString.prototype.includes: const string = ""foo"";
const substring = ""oo"";

console.log(string.includes(substring)); // true const string = ""foo"";
const substring = ""oo"";

console.log(string.includes(substring)); // true String.prototype.includesiscase-sensitiveandisnotsupported by Internet Explorerwithout apolyfill. In ECMAScript 5 or older environments, useString.prototype.indexOf, which returns -1 when a substring cannot be found: var string = ""foo"";
var substring = ""oo"";

console.log(string.indexOf(substring) !== -1); // true var string = ""foo"";
var substring = ""oo"";

console.log(string.indexOf(substring) !== -1); // true"
"How do I return the response/result from a functionfoothat makes an asynchronous request? I am trying to return the value from the callback, as well as assigning the result to a local variable inside the function and returning that one, but none of those ways actually return the response — they all returnundefinedor whatever the initial value of the variableresultis. Example of an asynchronous function that accepts a callback(using jQuery'sajaxfunction): function foo() {
    var result;

    $.ajax({
        url: '...',
        success: function(response) {
            result = response;
            // return response; // <- I tried that one as well
        }
    });

    return result; // It always returns `undefined`
} Example using Node.js: function foo() {
    var result;

    fs.readFile(""path/to/file"", function(err, data) {
        result = data;
        // return data; // <- I tried that one as well
    });

    return result; // It always returns `undefined`
} Example using thethenblock of a promise: function foo() {
    var result;

    fetch(url).then(function(response) {
        result = response;
        // return response; // <- I tried that one as well
    });

    return result; // It always returns `undefined`
}","→ For a more general explanation of asynchronous behaviour with different examples, seeWhy is my variable unaltered after I modify it inside of a function? - Asynchronous code reference → If you already understand the problem, skip to the possible solutions below. TheAinAjaxstands forasynchronous. That means sending the request (or rather receiving the response) is taken out of the normal execution flow. In your example,$.ajaxreturns immediately and the next statement,return result;, is executed before the function you passed assuccesscallback was even called. Here is an analogy which hopefully makes the difference between synchronous and asynchronous flow clearer: Imagine you make a phone call to a friend and ask him to look something up for you. Although it might take a while, you wait on the phone and stare into space, until your friend gives you the answer that you needed. The same is happening when you make a function call containing ""normal"" code: function findItem() {
    var item;
    while(item_not_found) {
        // search
    }
    return item;
}

var item = findItem();

// Do something with item
doSomethingElse(); Even thoughfindItemmight take a long time to execute, any code coming aftervar item = findItem();has towaituntil the function returns the result. You call your friend again for the same reason. But this time you tell him that you are in a hurry and he shouldcall you backon your mobile phone. You hang up, leave the house, and do whatever you planned to do. Once your friend calls you back, you are dealing with the information he gave to you. That's exactly what's happening when you do an Ajax request. findItem(function(item) {
    // Do something with the item
});
doSomethingElse(); Instead of waiting for the response, the execution continues immediately and the statement after the Ajax call is executed. To get the response eventually, you provide a function to be called once the response was received, acallback(notice something?call back?). Any statement coming after that call is executed before the callback is called. Embrace the asynchronous nature of JavaScript!While certain asynchronous operations provide synchronous counterparts (so does ""Ajax""), it's generally discouraged to use them, especially in a browser context. Why is it bad do you ask? JavaScript runs in the UI thread of the browser and any long-running process will lock the UI, making it unresponsive. Additionally, there is an upper limit on the execution time for JavaScript and the browser will ask the user whether to continue the execution or not. All of this results in a really bad user experience. The user won't be able to tell whether everything is working fine or not. Furthermore, the effect will be worse for users with a slow connection. In the following we will look at three different solutions that are all building on top of each other: All three are available in current browsers, and node 7+. The ECMAScript version released in 2017 introducedsyntax-level supportfor asynchronous functions. With the help ofasyncandawait, you can write asynchronous in a ""synchronous style"". The code is still asynchronous, but it's easier to read/understand. async/awaitbuilds on top of promises: anasyncfunction always returns a promise.await""unwraps"" a promise and either result in the value the promise was resolved with or throws an error if the promise was rejected. Important:You can only useawaitinside anasyncfunction or in aJavaScript module. Top-levelawaitis not supported outside of modules, so you might have to make an async IIFE (Immediately Invoked Function Expression) to start anasynccontext if not using a module. You can read more aboutasyncandawaiton MDN. Here is an example that elaborates thedelayfunctionfindItem()above: // Using 'superagent' which will return a promise.
var superagent = require('superagent')

// This is isn't declared as `async` because it already returns a promise
function delay() {
  // `delay` returns a promise
  return new Promise(function(resolve, reject) {
    // Only `delay` is able to resolve or reject the promise
    setTimeout(function() {
      resolve(42); // After 3 seconds, resolve the promise with value 42
    }, 3000);
  });
}

async function getAllBooks() {
  try {
    // GET a list of book IDs of the current user
    var bookIDs = await superagent.get('/user/books');
    // wait for 3 seconds (just for the sake of this example)
    await delay();
    // GET information about each book
    return superagent.get('/books/ids='+JSON.stringify(bookIDs));
  } catch(error) {
    // If any of the awaited promises was rejected, this catch block
    // would catch the rejection reason
    return null;
  }
}

// Start an IIFE to use `await` at the top level
(async function(){
  let books = await getAllBooks();
  console.log(books);
})(); Currentbrowserandnodeversions supportasync/await. You can also support older environments by transforming your code to ES5 with the help ofregenerator(or tools that use regenerator, such asBabel). A callback is when function 1 is passed to function 2. Function 2 can call function 1 whenever it is ready. In the context of an asynchronous process, the callback will be called whenever the asynchronous process is done. Usually, the result is passed to the callback. In the example of the question, you can makefooaccept a callback and use it assuccesscallback. So this var result = foo();
// Code that depends on 'result' becomes foo(function(result) {
    // Code that depends on 'result'
}); Here we defined the function ""inline"" but you can pass any function reference: function myCallback(result) {
    // Code that depends on 'result'
}

foo(myCallback); fooitself is defined as follows: function foo(callback) {
    $.ajax({
        // ...
        success: callback
    });
} callbackwill refer to the function we pass tofoowhen we call it and we pass it on tosuccess. I.e. once the Ajax request is successful,$.ajaxwill callcallbackand pass the response to the callback (which can be referred to withresult, since this is how we defined the callback). You can also process the response before passing it to the callback: function foo(callback) {
    $.ajax({
        // ...
        success: function(response) {
            // For example, filter the response
            callback(filtered_response);
        }
    });
} It's easier to write code using callbacks than it may seem. After all, JavaScript in the browser is heavily event-driven (DOM events). Receiving the Ajax response is nothing else but an event.
Difficulties could arise when you have to work with third-party code, but most problems can be solved by just thinking through the application flow. ThePromise APIis a new feature of ECMAScript 6 (ES2015), but it has goodbrowser supportalready. There are also many libraries which implement the standard Promises API and provide additional methods to ease the use and composition of asynchronous functions (e.g.,bluebird). Promises are containers forfuturevalues. When the promise receives the value (it isresolved) or when it is canceled (rejected), it notifies all of its ""listeners"" who want to access this value. The advantage over plain callbacks is that they allow you to decouple your code and they are easier to compose. Here is an example of using a promise: function delay() {
  // `delay` returns a promise
  return new Promise(function(resolve, reject) {
    // Only `delay` is able to resolve or reject the promise
    setTimeout(function() {
      resolve(42); // After 3 seconds, resolve the promise with value 42
    }, 3000);
  });
}

delay()
  .then(function(v) { // `delay` returns a promise
    console.log(v); // Log the value once it is resolved
  })
  .catch(function(v) {
    // Or do something else if it is rejected
    // (it would not happen in this example, since `reject` is not called).
  });.as-console-wrapper { max-height: 100% !important; top: 0; } function delay() {
  // `delay` returns a promise
  return new Promise(function(resolve, reject) {
    // Only `delay` is able to resolve or reject the promise
    setTimeout(function() {
      resolve(42); // After 3 seconds, resolve the promise with value 42
    }, 3000);
  });
}

delay()
  .then(function(v) { // `delay` returns a promise
    console.log(v); // Log the value once it is resolved
  })
  .catch(function(v) {
    // Or do something else if it is rejected
    // (it would not happen in this example, since `reject` is not called).
  }); .as-console-wrapper { max-height: 100% !important; top: 0; } Applied to our Ajax call we could use promises like this: function ajax(url) {
  return new Promise(function(resolve, reject) {
    var xhr = new XMLHttpRequest();
    xhr.onload = function() {
      resolve(this.responseText);
    };
    xhr.onerror = reject;
    xhr.open('GET', url);
    xhr.send();
  });
}

ajax(""https://jsonplaceholder.typicode.com/todos/1"")
  .then(function(result) {
    console.log(result); // Code depending on result
  })
  .catch(function() {
    // An error occurred
  });.as-console-wrapper { max-height: 100% !important; top: 0; } function ajax(url) {
  return new Promise(function(resolve, reject) {
    var xhr = new XMLHttpRequest();
    xhr.onload = function() {
      resolve(this.responseText);
    };
    xhr.onerror = reject;
    xhr.open('GET', url);
    xhr.send();
  });
}

ajax(""https://jsonplaceholder.typicode.com/todos/1"")
  .then(function(result) {
    console.log(result); // Code depending on result
  })
  .catch(function() {
    // An error occurred
  }); .as-console-wrapper { max-height: 100% !important; top: 0; } Describing all the advantages that promise offer is beyond the scope of this answer, but if you write new code, you should seriously consider them. They provide a great abstraction and separation of your code. More information about promises:HTML5 rocks - JavaScript Promises. Deferred objectsare jQuery's custom implementation of promises (before the Promise API was standardized). They behave almost like promises but expose a slightly different API. Every Ajax method of jQuery already returns a ""deferred object"" (actually a promise of a deferred object) which you can just return from your function: function ajax() {
    return $.ajax(...);
}

ajax().done(function(result) {
    // Code depending on result
}).fail(function() {
    // An error occurred
}); Keep in mind that promises and deferred objects are justcontainersfor a future value, they are not the value itself. For example, suppose you had the following: function checkPassword() {
    return $.ajax({
        url: '/password',
        data: {
            username: $('#username').val(),
            password: $('#password').val()
        },
        type: 'POST',
        dataType: 'json'
    });
}

if (checkPassword()) {
    // Tell the user they're logged in
} This code misunderstands the above asynchronous issues. Specifically,$.ajax()doesn't freeze the code while it checks the '/password' page on your server - it sends a request to the server and while it waits, it immediately returns a jQuery Ajax Deferred object, not the response from the server. That means theifstatement is going to always get this Deferred object, treat it astrue, and proceed as though the user is logged in. Not good. But the fix is easy: checkPassword()
.done(function(r) {
    if (r) {
        // Tell the user they're logged in
    } else {
        // Tell the user their password was bad
    }
})
.fail(function(x) {
    // Tell the user something bad happened
}); As I mentioned, some(!) asynchronous operations have synchronous counterparts. I don't advocate their use, but for completeness' sake, here is how you would perform a synchronous call: If you directly use aXMLHttpRequestobject, passfalseas third argument to.open. If you usejQuery, you can set theasyncoption tofalse. Note that this option isdeprecatedsince jQuery 1.8.
You can then either still use asuccesscallback or access theresponseTextproperty of thejqXHR object: function foo() {
    var jqXHR = $.ajax({
        //...
        async: false
    });
    return jqXHR.responseText;
} If you use any other jQuery Ajax method, such as$.get,$.getJSON, etc., you have to change it to$.ajax(since you can only pass configuration parameters to$.ajax). Heads up!It is not possible to make a synchronousJSONPrequest. JSONP by its very nature is always asynchronous (one more reason to not even consider this option)."
"ECMAScript 6 introducedtheletdeclaration keyword. I've heard that it's described as a local variable, but I'm still not quite sure how it behaves differently than thevarkeyword. What are the differences? When shouldletbe used instead ofvar?","The main difference is scoping rules. Variables declared byvarkeyword are scoped to the immediate function body (hence the function scope) whileletvariables are scoped to the immediateenclosingblock denoted by{ }(hence the block scope). function run() {
  var foo = ""Foo"";
  let bar = ""Bar"";

  console.log(foo, bar); // Foo Bar

  {
    var moo = ""Mooo""
    let baz = ""Bazz"";
    console.log(moo, baz); // Mooo Bazz
  }

  console.log(moo); // Mooo
  console.log(baz); // ReferenceError
}

run(); function run() {
  var foo = ""Foo"";
  let bar = ""Bar"";

  console.log(foo, bar); // Foo Bar

  {
    var moo = ""Mooo""
    let baz = ""Bazz"";
    console.log(moo, baz); // Mooo Bazz
  }

  console.log(moo); // Mooo
  console.log(baz); // ReferenceError
}

run(); The reason whyletkeyword was introduced to the language was function scope is confusing and was one of the main sources of bugs in JavaScript. Take a look at this example fromanother Stack Overflow question: var funcs = [];
// let's create 3 functions
for (var i = 0; i < 3; i++) {
  // and store them in funcs
  funcs[i] = function() {
    // each should log its value.
    console.log(""My value: "" + i);
  };
}
for (var j = 0; j < 3; j++) {
  // and now let's run each one to see
  funcs[j]();
} var funcs = [];
// let's create 3 functions
for (var i = 0; i < 3; i++) {
  // and store them in funcs
  funcs[i] = function() {
    // each should log its value.
    console.log(""My value: "" + i);
  };
}
for (var j = 0; j < 3; j++) {
  // and now let's run each one to see
  funcs[j]();
} My value: 3was output to console each timefuncs[j]();was invoked since anonymous functions were bound to the same variable. People had to create immediately invoked functions to capture correct values from the loops but that was also hairy. Variables declared withvarkeyword arehoisted andinitializedwhich means they are accessible in their enclosing scope even before they are declared, however their value isundefinedbefore the declaration statement is reached: function checkHoisting() {
  console.log(foo); // undefined
  var foo = ""Foo"";
  console.log(foo); // Foo
}

checkHoisting(); function checkHoisting() {
  console.log(foo); // undefined
  var foo = ""Foo"";
  console.log(foo); // Foo
}

checkHoisting(); letvariables arehoisted butnot initializeduntil their definition is evaluated. Accessing them before the initialization results in aReferenceError. The variable is said to be inthe temporal dead zonefrom the start of the block until the declaration statement is processed. function checkHoisting() {
  console.log(foo); // ReferenceError
  let foo = ""Foo"";
  console.log(foo); // Foo
}

checkHoisting(); function checkHoisting() {
  console.log(foo); // ReferenceError
  let foo = ""Foo"";
  console.log(foo); // Foo
}

checkHoisting(); At the top level,let, unlikevar, does not create a property on the global object: var foo = ""Foo""; // globally scoped
let bar = ""Bar""; // globally scoped but not part of the global object

console.log(window.foo); // Foo
console.log(window.bar); // undefined var foo = ""Foo""; // globally scoped
let bar = ""Bar""; // globally scoped but not part of the global object

console.log(window.foo); // Foo
console.log(window.bar); // undefined In strict mode,varwill let you re-declare the same variable in the same scope whileletraises a SyntaxError. 'use strict';
var foo = ""foo1"";
var foo = ""foo2""; // No problem, 'foo1' is replaced with 'foo2'.

let bar = ""bar1""; 
let bar = ""bar2""; // SyntaxError: Identifier 'bar' has already been declared 'use strict';
var foo = ""foo1"";
var foo = ""foo2""; // No problem, 'foo1' is replaced with 'foo2'.

let bar = ""bar1""; 
let bar = ""bar2""; // SyntaxError: Identifier 'bar' has already been declared"
