# these are fakes data generated using Faker library and some random generators in order to not add real company data
Name,Sectors,Location,url,Number of Employees,Logo URL,Number of Job Offers
"Harris, Sawyer and Reid","Psychologist, occupational, Nurse, adult, Production assistant, radio","Jonesville, Austria","https://sanchez-whitney.biz/harris--sawyer-and-reid","5001+ employees","https://dummyimage.com/200x200","33 job offers"
"Beasley, Pennington and Garcia","Therapist, nutritional","Jennifershire, Suriname","https://jones-smith.com/beasley--pennington-and-garcia","1001-5000 employees","https://picsum.photos/200/200","9 job offers"
"Martin Inc","Actor, Advertising copywriter, Chartered accountant","Emilyshire, Argentina","https://martin.com/martin-inc","501-1000 employees","https://picsum.photos/200/200","22 job offers"
"Hall-Taylor","Learning mentor, Lecturer, further education, Arts administrator","Lake Brittany, Lithuania","https://alexander.net/hall-taylor","51-200 employees","https://dummyimage.com/200x200","27 job offers"
"Sullivan-Kelley","Product manager","East Denise, Pakistan","https://bowers-holder.com/sullivan-kelley","201-500 employees","https://placekitten.com/200/200","5 job offers"
"Mitchell-Cannon","Cabin crew, Publishing copy, Air traffic controller","Michaelport, Botswana","https://henderson.net/mitchell-cannon","11-50 employees","https://dummyimage.com/200x200","40 job offers"
"Holland-Brown","Editor, commissioning, Financial risk analyst","Port Brettburgh, Lao People's Democratic Republic","https://hendricks.com/holland-brown","11-50 employees","https://picsum.photos/200/200","33 job offers"
"Cruz Inc","residential surveyor, Dentist, Music tutor","Carrollfort, Netherlands Antilles","https://jackson-archer.com/cruz-inc","11-50 employees","https://placekitten.com/200/200","6 job offers"
"Smith LLC","Psychologist, prison and probation services","Robertsfurt, Faroe Islands","https://martin.info/smith-llc","501-1000 employees","https://placekitten.com/200/200","27 job offers"
"Alexander, Mitchell and Wilson","Futures trader","Port Dean, Monaco","https://davis.com/alexander--mitchell-and-wilson","51-200 employees","https://dummyimage.com/200x200","26 job offers"
"Wilson and Sons","Mechanical engineer","Andersontown, Tokelau","https://lee.biz/wilson-and-sons","51-200 employees","https://picsum.photos/200/200","30 job offers"
"Lewis-Jones","Clinical cytogeneticist","Williamsburgh, Syrian Arab Republic","https://johnson.com/lewis-jones","201-500 employees","https://picsum.photos/200/200","9 job offers"
"Sparks Inc","Biochemist, clinical, Textile designer, Quantity surveyor","Jamesbury, Burundi","https://jones-jones.info/sparks-inc","501-1000 employees","https://placekitten.com/200/200","34 job offers"
"Smith Ltd","Sports administrator","Paulchester, Timor-Leste","https://casey-flores.com/smith-ltd","5001+ employees","https://placekitten.com/200/200","29 job offers"
"Guzman, Lewis and Rose","Water engineer, Ambulance person, Television floor manager","South Robertport, Albania","https://garrett.org/guzman--lewis-and-rose","501-1000 employees","https://picsum.photos/200/200","19 job offers"
"Brown LLC","Technical sales engineer, Engineer, chemical, Fine artist","Michaelland, Saint Barthelemy","https://chapman.biz/brown-llc","1001-5000 employees","https://dummyimage.com/200x200","13 job offers"
"Woodard, Ingram and Weber","Tourist information centre manager, Engineer, civil (contracting)","Mirandaville, Rwanda","https://hanson-atkinson.com/woodard--ingram-and-weber","501-1000 employees","https://dummyimage.com/200x200","9 job offers"
"Moore Ltd","Clinical psychologist, Research scientist (life sciences), Occupational therapist","Lake Michael, Christmas Island","https://silva.com/moore-ltd","11-50 employees","https://picsum.photos/200/200","11 job offers"
"Jackson, Wright and Lamb","Television floor manager","Nathanielview, Malawi","https://pierce-campbell.com/jackson--wright-and-lamb","201-500 employees","https://dummyimage.com/200x200","15 job offers"
"Cortez and Sons","Psychologist, occupational, Personnel officer","Port Victor, Bulgaria","https://reed.com/cortez-and-sons","5001+ employees","https://picsum.photos/200/200","29 job offers"
"Perkins-Adams","Management consultant, Presenter, broadcasting, Merchandiser, retail","Villarrealshire, United Kingdom","https://larson.com/perkins-adams","501-1000 employees","https://picsum.photos/200/200","36 job offers"
"Brown Ltd","Engineer, production, Jewellery designer, Therapist, sports","Lopezshire, Venezuela","https://sanchez.biz/brown-ltd","201-500 employees","https://picsum.photos/200/200","4 job offers"
"Perkins-Hammond","Financial adviser","West Rachel, United Kingdom","https://lang.net/perkins-hammond","501-1000 employees","https://dummyimage.com/200x200","22 job offers"
"Hopkins-Brown","Engineer, production","Port Cassandra, Central African Republic","https://hoffman.com/hopkins-brown","11-50 employees","https://dummyimage.com/200x200","4 job offers"
"Roy-Holland","Press photographer, Product manager, Medical technical officer","East Elizabethbury, Angola","https://peterson.com/roy-holland","51-200 employees","https://picsum.photos/200/200","30 job offers"
"Hudson, Anderson and Bryant","Curator, Quality manager, Academic librarian","West Amy, Australia","https://wolfe-santiago.com/hudson--anderson-and-bryant","1001-5000 employees","https://picsum.photos/200/200","24 job offers"
"Johnson Inc","Technical brewer, geneticist, Chief Strategy Officer","South Melissa, United States Minor Outlying Islands","https://sanchez.com/johnson-inc","501-1000 employees","https://picsum.photos/200/200","34 job offers"
"Patel, Estrada and Fletcher","Homeopath, Metallurgist","North Jenniferville, Paraguay","https://leblanc-morgan.biz/patel--estrada-and-fletcher","51-200 employees","https://picsum.photos/200/200","7 job offers"
"Pierce Group","Meteorologist, Exercise physiologist","Leestad, Saint Helena","https://hayes.com/pierce-group","5001+ employees","https://picsum.photos/200/200","0 job offers"
"Williams LLC","Broadcast presenter, Accountant, chartered management","East Nicole, French Polynesia","https://fuentes.org/williams-llc","51-200 employees","https://picsum.photos/200/200","5 job offers"
"Weiss PLC","Aeronautical engineer","Nicholsonmouth, Cyprus","https://walter-barnett.com/weiss-plc","5001+ employees","https://placekitten.com/200/200","38 job offers"
"Nguyen LLC","ranger, Librarian, academic, Therapist, art","Lake Eric, Mali","https://cruz.com/nguyen-llc","1-10 employees","https://dummyimage.com/200x200","0 job offers"
"Taylor-Doyle","Journalist, magazine, Engineer, civil (contracting), Agricultural engineer","Johnsonbury, Finland","https://romero-sandoval.com/taylor-doyle","1-10 employees","https://picsum.photos/200/200","40 job offers"
"Barrett-Thomas","Surveyor, planning and development, Artist, Ambulance person","South Christopher, Saint Martin","https://brown-whitaker.net/barrett-thomas","11-50 employees","https://picsum.photos/200/200","11 job offers"
"Miller, Gregory and Webster","Volunteer coordinator, Barrister","Port Gloriaton, Puerto Rico","https://potter.org/miller--gregory-and-webster","501-1000 employees","https://dummyimage.com/200x200","12 job offers"
"Carter LLC","Nurse, adult, Probation officer, Television production assistant","Lake Corey, Bahrain","https://orozco-porter.com/carter-llc","1001-5000 employees","https://placekitten.com/200/200","33 job offers"
"Johnson Ltd","Arts administrator","West Thomas, New Caledonia","https://davis-flores.com/johnson-ltd","501-1000 employees","https://placekitten.com/200/200","2 job offers"
"Nguyen-Zuniga","gallery conservator","East Jamesmouth, Bosnia and Herzegovina","https://brennan-johnson.com/nguyen-zuniga","11-50 employees","https://picsum.photos/200/200","29 job offers"
"Ross-Trujillo","Careers adviser, Science writer, IT trainer","Maloneview, South Georgia and the South Sandwich Islands","https://cantrell.com/ross-trujillo","501-1000 employees","https://dummyimage.com/200x200","35 job offers"
"Johnson-Stewart","Tourism officer, development worker","Lake Cynthiabury, Nauru","https://cardenas-roach.com/johnson-stewart","501-1000 employees","https://dummyimage.com/200x200","26 job offers"
"Porter, White and Ramos","Optician, dispensing, Theatre manager","Gonzalezmouth, Northern Mariana Islands","https://snyder.com/porter--white-and-ramos","1-10 employees","https://picsum.photos/200/200","37 job offers"
"Hall, Butler and Espinoza","Publishing copy","Krystalview, Tuvalu","https://haynes.info/hall--butler-and-espinoza","201-500 employees","https://picsum.photos/200/200","1 job offers"
"Bush-Campbell","Air cabin crew, Scientist, research (maths)","Bradleyfurt, Comoros","https://miller-jones.org/bush-campbell","501-1000 employees","https://dummyimage.com/200x200","0 job offers"
"Snyder-Levine","Planning and development surveyor, Advertising copywriter","Nathanfurt, Guinea-Bissau","https://morgan.com/snyder-levine","1001-5000 employees","https://picsum.photos/200/200","31 job offers"
"Ingram, Jones and Ferguson","Dispensing optician, Sports therapist, Actuary","Michaelstad, Lao People's Democratic Republic","https://stephens.com/ingram--jones-and-ferguson","1001-5000 employees","https://placekitten.com/200/200","27 job offers"
"Payne, Henry and Jones","process development scientist, Designer, furniture, Administrator, arts","Danstad, Monaco","https://davis.biz/payne--henry-and-jones","1-10 employees","https://picsum.photos/200/200","36 job offers"
"Smith-Smith","Health physicist","Charlesfort, Armenia","https://carroll.com/smith-smith","5001+ employees","https://placekitten.com/200/200","35 job offers"
"Martinez LLC","Doctor, hospital, Equality and diversity officer","Maryfort, Georgia","https://martinez-jackson.biz/martinez-llc","201-500 employees","https://placekitten.com/200/200","34 job offers"
"Brewer Inc","administrative officer, Clinical psychologist, Dramatherapist","Jenniferport, North Macedonia","https://adams.com/brewer-inc","11-50 employees","https://picsum.photos/200/200","2 job offers"
"Saunders, Camacho and Murray","Water engineer, Tour manager, Scientist, water quality","Brianton, Kenya","https://randall.com/saunders--camacho-and-murray","51-200 employees","https://picsum.photos/200/200","35 job offers"
"Torres-Scott","Scientific laboratory technician, Equities trader","West Edward, Christmas Island","https://miller.com/torres-scott","11-50 employees","https://picsum.photos/200/200","14 job offers"
"Walker PLC","Immigration officer, Loss adjuster, chartered, Aeronautical engineer","Lake Evan, Malawi","https://blankenship.com/walker-plc","501-1000 employees","https://placekitten.com/200/200","28 job offers"
"Burke Inc","pottery","Lake Stephanie, Croatia","https://faulkner-king.com/burke-inc","11-50 employees","https://dummyimage.com/200x200","25 job offers"
"Martinez-Hanna","Nurse, adult, Therapist, music","Port Jamieland, Paraguay","https://rose.com/martinez-hanna","11-50 employees","https://picsum.photos/200/200","27 job offers"
"Williams-Cortez","Insurance underwriter, Pilot, airline, Therapist, art","West Andrew, Morocco","https://harris-contreras.net/williams-cortez","1001-5000 employees","https://picsum.photos/200/200","26 job offers"
"Brennan-Price","Health service manager, Physiological scientist, Agricultural engineer","New Michaelmouth, Malaysia","https://wilkins.com/brennan-price","1001-5000 employees","https://picsum.photos/200/200","11 job offers"
"Palmer-Smith","Retail buyer, Environmental manager, Energy manager","Thompsonland, British Virgin Islands","https://tran.net/palmer-smith","1-10 employees","https://placekitten.com/200/200","10 job offers"
"Long-Martin","Professor Emeritus","North Dean, Turkmenistan","https://burns.com/long-martin","1-10 employees","https://placekitten.com/200/200","34 job offers"
"Williams Inc","Catering manager, Engineer, electrical, Personnel officer","New Madison, Rwanda","https://lawrence.com/williams-inc","201-500 employees","https://placekitten.com/200/200","21 job offers"
"Griffin Inc","residential surveyor, Geoscientist","Rhondaport, Heard Island and McDonald Islands","https://garza.com/griffin-inc","201-500 employees","https://picsum.photos/200/200","32 job offers"
"Phelps, Peters and Robertson","Applications developer","Yanghaven, Iran","https://mills-serrano.com/phelps--peters-and-robertson","5001+ employees","https://placekitten.com/200/200","15 job offers"
"Rogers-Schultz","Electrical engineer","Christineland, Vanuatu","https://rush-brown.com/rogers-schultz","1-10 employees","https://dummyimage.com/200x200","2 job offers"
"Andrews-Long","Investment banker, operational","Lake Melanie, Myanmar","https://miller.com/andrews-long","1001-5000 employees","https://placekitten.com/200/200","26 job offers"
"Ballard, Sawyer and Horton","Editorial assistant, Environmental manager","Shanetown, Venezuela","https://weaver.org/ballard--sawyer-and-horton","5001+ employees","https://dummyimage.com/200x200","8 job offers"
"Steele-Reyes","Astronomer, Arboriculturist, Prison officer","Port Alyssatown, Ecuador","https://king.com/steele-reyes","5001+ employees","https://placekitten.com/200/200","6 job offers"
"Murray-Bradley","Dealer, Engineer, water","Harristown, Honduras","https://ross.net/murray-bradley","501-1000 employees","https://picsum.photos/200/200","2 job offers"
"Bass-Berry","Petroleum engineer, Development worker, community, Broadcast journalist","Jacquelinestad, Guatemala","https://gonzales.com/bass-berry","51-200 employees","https://picsum.photos/200/200","7 job offers"
"Mcneil-Pineda","film set, Podiatrist, Magazine features editor","Derekmouth, British Indian Ocean Territory (Chagos Archipelago)","https://schwartz-anderson.org/mcneil-pineda","1-10 employees","https://picsum.photos/200/200","13 job offers"
"Gillespie and Sons","Physiological scientist","South Valerie, Norway","https://cooper.com/gillespie-and-sons","5001+ employees","https://dummyimage.com/200x200","19 job offers"
"Carroll-Reynolds","Community arts worker, Wellsite geologist, Management consultant","Hallburgh, Cape Verde","https://sandoval-lester.biz/carroll-reynolds","501-1000 employees","https://picsum.photos/200/200","8 job offers"
"Romero-Mitchell","Music tutor, Freight forwarder, Public relations officer","Alisonfurt, Russian Federation","https://jones.com/romero-mitchell","11-50 employees","https://picsum.photos/200/200","34 job offers"
"Mcdaniel, Stanley and Cruz","Engineer, automotive","Port Carmenmouth, Swaziland","https://prince.com/mcdaniel--stanley-and-cruz","1001-5000 employees","https://dummyimage.com/200x200","23 job offers"
"Freeman Ltd","Civil engineer, consulting, Sub","North Caleb, Lao People's Democratic Republic","https://butler-guerrero.com/freeman-ltd","51-200 employees","https://picsum.photos/200/200","17 job offers"
"Underwood, Gregory and Leonard","conservation officer","Weberburgh, American Samoa","https://key.biz/underwood--gregory-and-leonard","501-1000 employees","https://placekitten.com/200/200","28 job offers"
"Mejia, Martinez and Adams","Doctor, hospital","Port Debra, Belarus","https://ortiz-martinez.net/mejia--martinez-and-adams","201-500 employees","https://placekitten.com/200/200","23 job offers"
"Jackson Inc","Psychologist, educational, Radiation protection practitioner, Sports administrator","Lewisbury, Montenegro","https://ortega.biz/jackson-inc","501-1000 employees","https://placekitten.com/200/200","28 job offers"
"Martin-Mitchell","Teacher, special educational needs","Port Amandaport, Nauru","https://wong.com/martin-mitchell","501-1000 employees","https://placekitten.com/200/200","21 job offers"
"Mcdonald PLC","Science writer","South Wendy, Christmas Island","https://salinas.com/mcdonald-plc","501-1000 employees","https://placekitten.com/200/200","1 job offers"
"Hicks-Chavez","Toxicologist","North Sandramouth, Lithuania","https://nguyen.biz/hicks-chavez","1-10 employees","https://picsum.photos/200/200","5 job offers"
"Hudson, Owen and Bennett","Visual merchandiser, Barrister's clerk","East Matthewland, Comoros","https://hernandez.info/hudson--owen-and-bennett","1001-5000 employees","https://picsum.photos/200/200","19 job offers"
"Weber and Sons","Petroleum engineer, Energy engineer","Romerofort, Vanuatu","https://gross.org/weber-and-sons","1-10 employees","https://placekitten.com/200/200","36 job offers"
"Wright-Anderson","Hospital pharmacist, Theme park manager, Trading standards officer","Valenciachester, Puerto Rico","https://west.net/wright-anderson","5001+ employees","https://placekitten.com/200/200","22 job offers"
"Hernandez, Estrada and Turner","Data processing manager","Annmouth, Sweden","https://price-wilson.com/hernandez--estrada-and-turner","5001+ employees","https://placekitten.com/200/200","0 job offers"
"Parrish PLC","Statistician, Scientist, physiological","North Judy, Holy See (Vatican City State)","https://jackson-powers.com/parrish-plc","201-500 employees","https://dummyimage.com/200x200","40 job offers"
"Roberts, Lee and Matthews","Administrator, Civil Service, Chartered certified accountant","Karenfort, Pitcairn Islands","https://walsh.org/roberts--lee-and-matthews","1-10 employees","https://picsum.photos/200/200","16 job offers"
"Williams LLC","development worker","New Donna, North Macedonia","https://gardner.info/williams-llc","11-50 employees","https://picsum.photos/200/200","30 job offers"
"Sanford, Rivera and Cortez","Psychiatrist","Port Michael, Moldova","https://davies-haynes.com/sanford--rivera-and-cortez","501-1000 employees","https://picsum.photos/200/200","0 job offers"
"Thomas PLC","process development, Marketing executive, Higher education careers adviser","Nguyenbury, Cayman Islands","https://blair.com/thomas-plc","1-10 employees","https://picsum.photos/200/200","15 job offers"
"Roach Ltd","Herpetologist, Community development worker","Holderfort, Lithuania","https://wood-weaver.net/roach-ltd","51-200 employees","https://picsum.photos/200/200","34 job offers"
"Taylor, Sanders and Morris","Phytotherapist, Insurance broker","Perezburgh, Indonesia","https://mathews.com/taylor--sanders-and-morris","11-50 employees","https://picsum.photos/200/200","0 job offers"
"Brewer LLC","Investment banker, corporate, Curator","Johnsonborough, Chile","https://cox.com/brewer-llc","501-1000 employees","https://dummyimage.com/200x200","17 job offers"
"Wagner-Atkinson","Audiological scientist","Elliottburgh, Equatorial Guinea","https://patton.biz/wagner-atkinson","11-50 employees","https://picsum.photos/200/200","5 job offers"
"Sharp-Hutchinson","assessor, Therapist, art","Lake Monicashire, Luxembourg","https://dixon-hansen.com/sharp-hutchinson","51-200 employees","https://dummyimage.com/200x200","32 job offers"
"Cochran-Berry","Armed forces operational officer","Hesschester, Bahamas","https://mitchell-townsend.com/cochran-berry","11-50 employees","https://placekitten.com/200/200","20 job offers"
"Cole-Mendez","Accountant, chartered public finance","Kellyview, Ecuador","https://brown.com/cole-mendez","501-1000 employees","https://placekitten.com/200/200","15 job offers"
"Hoover Inc","Planning and development surveyor, Metallurgist","Lake Emily, Switzerland","https://kim-copeland.info/hoover-inc","5001+ employees","https://dummyimage.com/200x200","11 job offers"
"Williams, Clark and Davis","Geoscientist, Press photographer, Exhibition designer","Jamesbury, Malawi","https://chang.net/williams--clark-and-davis","1001-5000 employees","https://placekitten.com/200/200","10 job offers"
"Love, Brennan and Fernandez","Corporate treasurer","West Marybury, Japan","https://flores.com/love--brennan-and-fernandez","1-10 employees","https://dummyimage.com/200x200","20 job offers"
"Francis-Rojas","Biomedical scientist","Ryanland, British Virgin Islands","https://smith.org/francis-rojas","501-1000 employees","https://picsum.photos/200/200","3 job offers"
"Gibson-Romero","Contracting civil engineer, Pharmacist, hospital, Animal technologist","West Kyleside, Dominican Republic","https://pearson.com/gibson-romero","11-50 employees","https://dummyimage.com/200x200","18 job offers"
"Simpson-Jackson","Special effects artist, video editor","Port Robert, Mali","https://orozco-larsen.org/simpson-jackson","5001+ employees","https://placekitten.com/200/200","7 job offers"
"Gonzales Ltd","Pensions consultant","Fryshire, British Indian Ocean Territory (Chagos Archipelago)","https://murphy.com/gonzales-ltd","501-1000 employees","https://placekitten.com/200/200","19 job offers"
"Lopez-Wilson","Make, Radio broadcast assistant, Engineer, chemical","East Laurenberg, Anguilla","https://dickerson.com/lopez-wilson","1001-5000 employees","https://placekitten.com/200/200","26 job offers"
"Lopez, English and Burch","Press photographer, Magazine features editor, Nutritional therapist","Vanessaside, Bahamas","https://smith.net/lopez--english-and-burch","501-1000 employees","https://dummyimage.com/200x200","39 job offers"
"Gibson, Bailey and Ford","Psychologist, educational, Music tutor, Clinical embryologist","North Alexisfort, Russian Federation","https://johnson.com/gibson--bailey-and-ford","1-10 employees","https://picsum.photos/200/200","21 job offers"
"Brown-Rodriguez","video","Randallland, Yemen","https://bennett.com/brown-rodriguez","51-200 employees","https://picsum.photos/200/200","34 job offers"
"Smith, Turner and Flores","Television camera operator","South Robertborough, Chad","https://thomas-smith.com/smith--turner-and-flores","1001-5000 employees","https://dummyimage.com/200x200","36 job offers"
"Terry and Sons","Quarry manager, Engineer, control and instrumentation","Lake Janetchester, Myanmar","https://rodriguez.com/terry-and-sons","501-1000 employees","https://picsum.photos/200/200","23 job offers"
"Mcmahon, Morris and Wyatt","Science writer","East Karenchester, Anguilla","https://king-moss.com/mcmahon--morris-and-wyatt","201-500 employees","https://placekitten.com/200/200","10 job offers"
"Mcintyre, Nicholson and Martin","tax inspector, spatial, Aeronautical engineer","East Sarahmouth, Burundi","https://benjamin.org/mcintyre--nicholson-and-martin","51-200 employees","https://picsum.photos/200/200","27 job offers"
"Schmidt, Lee and Velazquez","Diagnostic radiographer, Social researcher","Woodborough, Myanmar","https://reyes.com/schmidt--lee-and-velazquez","1-10 employees","https://dummyimage.com/200x200","39 job offers"
"Villarreal-Williams","Naval architect","North Katelyn, Namibia","https://leach.com/villarreal-williams","1001-5000 employees","https://dummyimage.com/200x200","3 job offers"
"Holt, Sutton and Mccullough","IT consultant","Dominguezport, Bulgaria","https://smith.com/holt--sutton-and-mccullough","5001+ employees","https://placekitten.com/200/200","32 job offers"
"Clements, Griffith and Davenport","Animal technologist","East Laurenland, Lesotho","https://luna-harris.com/clements--griffith-and-davenport","5001+ employees","https://picsum.photos/200/200","30 job offers"
"Blake Inc","Adult guidance worker, Customer service manager","Bishopfurt, Aruba","https://andrade.org/blake-inc","11-50 employees","https://picsum.photos/200/200","7 job offers"
"White-Ayers","tax inspector, Make, Horticultural therapist","New Janice, Turkey","https://smith.com/white-ayers","501-1000 employees","https://placekitten.com/200/200","3 job offers"
"Anderson LLC","Insurance underwriter, Radiographer, diagnostic","Robertstad, Barbados","https://pearson.info/anderson-llc","201-500 employees","https://picsum.photos/200/200","8 job offers"
"Dunlap LLC","Education officer, museum, Tax inspector, Financial risk analyst","Christineton, South Georgia and the South Sandwich Islands","https://wright.com/dunlap-llc","51-200 employees","https://dummyimage.com/200x200","32 job offers"
"Bradley PLC","Rural practice surveyor, Chief of Staff","South Denise, Sri Lanka","https://gilbert.com/bradley-plc","51-200 employees","https://picsum.photos/200/200","29 job offers"
"Alexander-Jones","Scientist, research (life sciences), Arboriculturist, Magazine features editor","West Luistown, Serbia","https://simpson.com/alexander-jones","51-200 employees","https://placekitten.com/200/200","22 job offers"
"Smith Group","stained glass","East Hollyview, Uganda","https://bennett.com/smith-group","1-10 employees","https://picsum.photos/200/200","5 job offers"
"Prince-Wood","textile technologist","Townsendport, Barbados","https://morrison.info/prince-wood","1001-5000 employees","https://picsum.photos/200/200","13 job offers"
"King-Gordon","Restaurant manager, fast food, Amenity horticulturist, Production engineer","South John, Comoros","https://espinoza.com/king-gordon","11-50 employees","https://dummyimage.com/200x200","5 job offers"
"Contreras-Wright","Therapist, sports","Jenniferborough, Albania","https://hawkins.com/contreras-wright","1001-5000 employees","https://picsum.photos/200/200","12 job offers"
"Waller, Welch and Cook","Estate agent, Chartered public finance accountant, Retail manager","Monicatown, Palau","https://rodriguez-bradley.biz/waller--welch-and-cook","5001+ employees","https://dummyimage.com/200x200","3 job offers"
"Rodriguez and Sons","Ambulance person, Set designer","West Angela, Madagascar","https://marshall.net/rodriguez-and-sons","51-200 employees","https://picsum.photos/200/200","32 job offers"
"Fisher, Watkins and Green","Brewing technologist","East Marisa, Faroe Islands","https://brown-garcia.com/fisher--watkins-and-green","11-50 employees","https://placekitten.com/200/200","1 job offers"
"Gray Group","Copywriter, advertising","Port Sheila, Tunisia","https://lee.com/gray-group","11-50 employees","https://dummyimage.com/200x200","7 job offers"
"Sharp Group","Data scientist, Amenity horticulturist","Kevinshire, United States of America","https://jordan-nguyen.com/sharp-group","11-50 employees","https://dummyimage.com/200x200","8 job offers"
"Lozano LLC","Medical laboratory scientific officer, Lecturer, further education, Volunteer coordinator","East Justinton, Tokelau","https://villegas-long.com/lozano-llc","1001-5000 employees","https://placekitten.com/200/200","15 job offers"
"Hood and Sons","Cabin crew","Lake Davidport, Cuba","https://esparza.com/hood-and-sons","201-500 employees","https://dummyimage.com/200x200","18 job offers"
"Swanson, Meyers and Jordan","Learning mentor","Ryanhaven, Gabon","https://anderson.com/swanson--meyers-and-jordan","51-200 employees","https://picsum.photos/200/200","5 job offers"
"Coleman, Thompson and Carter","Designer, graphic, Radiographer, therapeutic","East Megan, Luxembourg","https://hatfield.com/coleman--thompson-and-carter","201-500 employees","https://dummyimage.com/200x200","1 job offers"
